id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
966,Female,64,1,28,1,1-2 Year,No,40591,124,294,0
967,Female,28,1,34,1,< 1 Year,Yes,22649,152,38,0
968,Male,21,1,15,0,< 1 Year,Yes,47795,160,154,0
969,Female,27,1,2,1,< 1 Year,No,2630,152,272,0
970,Male,25,1,13,1,< 1 Year,No,31570,152,280,0
971,Male,21,1,13,1,< 1 Year,Yes,30899,160,219,0
972,Female,44,1,50,0,1-2 Year,Yes,72002,8,230,1
973,Male,28,1,36,1,< 1 Year,No,32630,152,185,0
974,Female,55,1,26,1,1-2 Year,No,30352,26,172,0
975,Male,46,1,28,0,1-2 Year,Yes,2630,124,272,0
976,Male,59,1,46,0,1-2 Year,Yes,28281,163,24,0
977,Female,24,1,8,1,< 1 Year,No,70187,152,194,0
978,Male,34,1,43,0,1-2 Year,Yes,36726,124,20,0
979,Male,48,1,39,0,1-2 Year,Yes,39839,26,14,0
980,Male,65,1,28,0,1-2 Year,Yes,2630,26,201,0
981,Female,26,1,18,1,< 1 Year,No,39439,152,118,0
982,Male,48,1,28,1,1-2 Year,No,38252,54,184,0
983,Male,48,1,48,0,1-2 Year,Yes,2630,26,185,1
984,Male,21,1,27,1,< 1 Year,No,2630,160,68,0
985,Male,25,1,28,1,< 1 Year,No,37855,152,188,0
986,Male,44,1,29,0,1-2 Year,Yes,40500,3,243,1
987,Male,43,1,9,0,1-2 Year,Yes,25952,124,115,1
988,Male,54,1,29,0,1-2 Year,Yes,31659,124,182,1
989,Female,21,1,36,0,< 1 Year,Yes,46491,160,202,0
990,Male,49,1,11,0,> 2 Years,Yes,2630,156,234,0
991,Female,70,1,28,1,1-2 Year,No,28841,124,152,0
992,Male,56,1,28,0,1-2 Year,Yes,54522,26,231,0
993,Female,20,1,3,0,< 1 Year,Yes,30212,160,53,0
994,Female,25,1,37,0,< 1 Year,No,33528,152,34,0
995,Male,36,1,10,1,1-2 Year,No,30925,152,198,0
996,Female,73,1,50,0,1-2 Year,No,42133,124,203,0
997,Male,53,1,28,0,1-2 Year,Yes,54918,55,271,0
998,Female,25,1,8,0,< 1 Year,Yes,40191,152,185,0
999,Female,22,1,30,0,< 1 Year,Yes,28904,160,197,0
1000,Male,21,1,41,0,< 1 Year,Yes,30204,26,67,0
1001,Male,64,1,29,1,1-2 Year,Yes,2630,26,245,0
1002,Male,48,1,28,0,> 2 Years,Yes,37447,26,254,1
1003,Male,24,1,18,1,< 1 Year,No,32194,152,241,0
1004,Male,51,1,28,0,1-2 Year,Yes,34868,125,90,0
1005,Male,54,1,29,0,1-2 Year,Yes,2630,26,49,0
1006,Male,52,1,8,0,1-2 Year,Yes,2630,26,128,1
1007,Male,25,1,21,1,< 1 Year,No,26605,152,19,0
1008,Male,72,1,28,0,1-2 Year,Yes,42650,26,23,0
1009,Female,25,1,8,0,< 1 Year,Yes,29717,160,232,0
1010,Male,31,1,46,1,< 1 Year,No,39353,152,193,0
1011,Female,59,1,28,1,1-2 Year,No,27411,26,154,0
1012,Female,50,1,47,1,1-2 Year,No,28229,124,213,0
1013,Female,22,1,11,1,< 1 Year,No,36580,152,171,0
1014,Male,41,1,28,0,1-2 Year,Yes,41342,26,267,1
1015,Male,39,1,39,0,1-2 Year,Yes,37334,26,135,0
1016,Female,24,1,9,0,< 1 Year,No,23974,152,12,0
1017,Female,21,1,12,0,< 1 Year,Yes,27470,160,253,0
1018,Male,56,1,8,1,1-2 Year,No,51384,124,236,0
1019,Male,22,1,13,0,< 1 Year,No,29909,152,64,0
1020,Male,69,1,41,1,1-2 Year,No,41647,19,229,0
1021,Female,64,1,28,0,1-2 Year,Yes,31302,26,48,1
1022,Male,24,1,28,1,< 1 Year,No,57196,26,57,0
1023,Female,23,1,41,1,< 1 Year,No,27841,152,59,0
1024,Male,36,1,30,0,1-2 Year,Yes,28453,154,273,1
1025,Female,41,1,28,0,1-2 Year,Yes,42748,26,268,0
1026,Male,31,1,28,0,< 1 Year,No,2630,1,71,0
1027,Male,26,1,28,1,< 1 Year,No,43413,152,238,0
1028,Male,54,1,46,0,> 2 Years,Yes,27745,116,210,0
1029,Male,38,1,28,0,1-2 Year,Yes,47548,124,287,0
1030,Female,61,1,28,0,1-2 Year,Yes,40113,3,65,0
1031,Male,38,1,35,1,1-2 Year,No,41274,152,89,0
1032,Female,48,1,28,1,1-2 Year,No,51740,52,177,0
1033,Male,23,1,2,0,< 1 Year,Yes,40509,152,219,0
1034,Male,57,1,5,0,1-2 Year,Yes,36682,29,136,1
1035,Female,52,1,28,0,> 2 Years,Yes,64843,24,125,0
1036,Female,31,1,41,1,1-2 Year,No,38172,124,258,0
1037,Female,23,1,41,1,< 1 Year,No,21078,152,247,0
1038,Male,77,1,28,0,1-2 Year,Yes,48880,26,294,0
1039,Female,25,1,10,0,< 1 Year,Yes,23354,152,68,0
1040,Male,31,1,8,1,< 1 Year,No,45476,152,113,0
1041,Male,24,1,22,1,< 1 Year,No,22637,152,124,0
1042,Male,59,1,26,0,> 2 Years,Yes,38063,22,283,0
1043,Male,23,1,12,0,< 1 Year,Yes,28107,26,195,1
1044,Female,48,1,8,0,1-2 Year,No,2630,124,31,0
1045,Female,24,1,2,1,< 1 Year,No,20473,152,33,0
1046,Female,37,1,39,0,1-2 Year,Yes,2630,157,123,0
1047,Female,53,1,20,0,1-2 Year,Yes,2630,124,247,0
1048,Male,48,1,33,0,1-2 Year,Yes,34216,154,272,1
1049,Male,22,1,45,1,< 1 Year,No,2630,152,18,0
1050,Female,22,1,15,1,< 1 Year,No,38903,152,124,0
1051,Male,67,1,8,0,1-2 Year,Yes,29699,7,133,0
1052,Female,24,1,39,0,< 1 Year,No,2630,152,276,1
1053,Female,26,1,29,1,< 1 Year,No,41283,152,258,0
1054,Female,47,1,29,0,1-2 Year,No,29825,26,129,0
1055,Female,60,1,28,0,1-2 Year,Yes,24529,35,282,0
1056,Male,61,1,18,1,1-2 Year,Yes,2630,157,125,0
1057,Female,22,1,15,0,< 1 Year,Yes,37608,152,42,0
1058,Female,36,1,28,1,1-2 Year,No,43183,26,264,0
1059,Female,46,1,27,0,1-2 Year,No,24257,26,73,0
1060,Female,21,1,46,0,< 1 Year,Yes,49438,160,16,0
1061,Female,38,1,31,0,1-2 Year,Yes,2630,154,288,0
1062,Male,27,1,8,1,< 1 Year,No,24417,152,52,0
1063,Male,25,1,37,0,< 1 Year,Yes,27499,152,206,1
1064,Male,52,1,28,1,1-2 Year,No,35897,26,217,0
1065,Female,34,1,15,1,1-2 Year,No,2630,152,79,0
1066,Female,32,1,26,1,1-2 Year,No,21131,8,217,0
1067,Male,45,1,28,0,1-2 Year,Yes,44605,124,240,1
1068,Male,30,1,8,0,< 1 Year,Yes,41158,26,183,0
1069,Female,74,1,48,0,1-2 Year,Yes,2630,15,101,0
1070,Male,53,1,28,0,1-2 Year,Yes,43219,124,289,1
1071,Male,24,1,36,1,< 1 Year,No,46529,152,61,0
1072,Female,40,1,8,0,1-2 Year,Yes,2630,124,117,0
1073,Female,31,1,11,1,1-2 Year,No,2630,124,230,0
1074,Male,63,1,36,0,> 2 Years,Yes,51444,124,194,0
1075,Female,23,1,29,1,< 1 Year,No,35382,152,205,0
1076,Male,46,1,15,0,1-2 Year,Yes,39828,124,112,0
1077,Female,24,1,8,1,< 1 Year,No,42879,152,219,0
1078,Male,35,1,11,0,1-2 Year,Yes,2630,156,46,1
1079,Female,34,1,30,1,1-2 Year,No,34767,152,81,0
1080,Male,49,1,28,0,1-2 Year,Yes,58768,26,31,1
1081,Male,50,1,28,0,> 2 Years,Yes,30105,13,101,0
1082,Male,65,1,29,1,1-2 Year,Yes,39415,26,123,0
1083,Female,20,1,35,0,< 1 Year,Yes,2630,157,170,0
1084,Male,50,1,41,0,1-2 Year,Yes,28273,122,51,0
1085,Female,52,1,29,0,> 2 Years,Yes,29387,26,84,0
1086,Male,41,1,38,0,1-2 Year,Yes,31089,124,240,0
1087,Male,39,1,26,1,1-2 Year,No,27922,152,146,0
1088,Male,38,1,28,1,1-2 Year,No,68637,26,282,0
1089,Male,27,1,11,1,< 1 Year,No,31021,152,70,0
1090,Male,48,1,8,0,> 2 Years,Yes,40662,7,239,0
1091,Male,51,1,28,1,1-2 Year,Yes,41942,3,151,0
1092,Male,61,1,47,0,> 2 Years,Yes,46566,124,194,0
1093,Male,25,1,8,1,< 1 Year,No,40074,152,188,0
1094,Male,49,1,28,0,> 2 Years,Yes,2630,156,83,1
1095,Male,25,1,15,1,< 1 Year,No,29082,152,282,0
1096,Male,42,1,38,0,1-2 Year,Yes,44017,124,92,0
1097,Female,28,1,15,0,< 1 Year,No,32036,152,13,0
1098,Female,40,1,28,1,1-2 Year,No,35065,122,24,0
1099,Male,48,1,8,0,1-2 Year,Yes,38437,25,62,1
1100,Female,21,1,24,1,< 1 Year,Yes,34838,152,128,0
1101,Male,22,1,15,0,< 1 Year,Yes,39443,152,247,0
1102,Male,59,1,40,1,1-2 Year,No,2630,26,176,0
1103,Female,35,1,15,0,1-2 Year,Yes,2630,160,185,0
1104,Female,38,1,29,0,1-2 Year,Yes,31056,26,224,0
1105,Female,70,1,28,1,1-2 Year,Yes,43438,26,222,0
1106,Male,67,1,18,1,1-2 Year,No,27072,124,151,0
1107,Male,22,1,38,1,< 1 Year,No,37031,152,70,0
1108,Female,23,1,8,0,< 1 Year,Yes,52664,26,32,0
1109,Female,69,1,28,1,1-2 Year,No,88733,26,39,0
1110,Male,51,1,29,0,1-2 Year,Yes,25503,26,182,1
1111,Female,22,1,28,1,< 1 Year,No,28233,152,58,0
1112,Male,24,1,8,1,< 1 Year,No,35577,152,207,0
1113,Female,37,1,35,0,1-2 Year,Yes,27487,124,97,1
1114,Male,21,1,27,0,< 1 Year,Yes,38694,152,30,0
1115,Female,67,1,28,0,> 2 Years,Yes,39199,26,91,0
1116,Female,27,1,2,1,< 1 Year,No,2630,152,76,0
1117,Female,24,1,12,1,< 1 Year,No,23209,152,182,0
1118,Female,32,1,46,1,1-2 Year,No,33115,124,260,0
1119,Female,24,1,28,1,< 1 Year,No,35313,152,219,0
1120,Male,48,1,28,0,1-2 Year,Yes,37667,26,210,1
1121,Female,47,1,36,0,1-2 Year,Yes,28592,26,28,0
1122,Male,25,1,50,1,< 1 Year,No,39003,151,275,0
1123,Female,24,1,3,0,< 1 Year,Yes,38669,152,137,0
1124,Female,23,1,47,0,< 1 Year,Yes,32715,152,118,1
1125,Female,24,1,18,1,< 1 Year,No,26943,152,69,0
1126,Female,21,1,12,0,< 1 Year,Yes,25848,152,111,0
1127,Male,54,1,8,0,1-2 Year,Yes,30151,26,58,0
1128,Female,67,1,28,1,1-2 Year,No,39283,124,105,0
1129,Female,24,1,45,0,< 1 Year,Yes,24060,152,283,0
1130,Male,39,1,18,0,1-2 Year,Yes,24328,29,10,0
1131,Male,80,1,28,0,1-2 Year,Yes,2630,156,259,0
1132,Female,27,1,27,0,< 1 Year,Yes,31406,152,298,0
1133,Male,49,1,41,0,1-2 Year,Yes,2630,156,120,0
1134,Male,44,1,28,0,1-2 Year,Yes,26448,26,123,0
1135,Male,60,1,28,0,1-2 Year,Yes,40735,124,138,0
1136,Female,27,1,30,1,< 1 Year,No,34895,152,163,0
1137,Male,43,1,26,0,1-2 Year,Yes,27561,22,292,0
1138,Male,28,1,37,0,< 1 Year,Yes,2630,160,208,0
1139,Female,56,1,41,0,1-2 Year,Yes,48002,136,170,0
1140,Male,47,1,14,0,1-2 Year,Yes,2630,124,44,0
1141,Male,69,1,28,0,1-2 Year,Yes,30015,26,225,0
1142,Female,20,1,15,0,< 1 Year,Yes,37390,160,183,0
1143,Female,25,1,28,1,< 1 Year,No,49739,26,218,0
1144,Male,64,1,28,0,1-2 Year,Yes,2630,156,64,0
1145,Male,69,1,43,1,1-2 Year,No,2630,26,24,0
1146,Male,48,1,28,0,1-2 Year,No,44651,124,98,0
1147,Male,32,1,41,1,1-2 Year,No,29551,26,131,0
1148,Female,41,1,10,0,1-2 Year,Yes,2630,26,154,1
1149,Female,40,1,17,1,1-2 Year,No,37988,124,255,0
1150,Male,27,1,22,1,< 1 Year,No,27179,152,254,0
1151,Female,42,1,8,0,1-2 Year,Yes,34494,26,48,1
1152,Female,23,1,37,0,< 1 Year,Yes,32765,152,223,0
1153,Female,27,1,32,0,< 1 Year,Yes,2630,152,261,0
1154,Male,26,1,8,1,< 1 Year,No,37484,152,235,0
1155,Male,43,1,47,0,1-2 Year,Yes,41520,26,145,0
1156,Male,64,1,27,0,1-2 Year,Yes,2630,124,146,0
1157,Female,37,1,46,0,1-2 Year,Yes,24672,11,162,1
1158,Male,26,1,36,1,< 1 Year,No,32293,152,55,0
1159,Female,21,1,36,1,< 1 Year,Yes,28901,152,22,0
1160,Male,24,1,36,0,< 1 Year,Yes,25096,152,237,0
1161,Male,36,1,16,0,1-2 Year,Yes,31632,152,255,0
1162,Female,48,1,34,0,1-2 Year,Yes,48743,124,54,0
1163,Male,49,1,10,0,1-2 Year,Yes,26642,154,179,0
1164,Male,64,1,28,1,1-2 Year,No,39136,26,125,0
1165,Male,32,1,41,1,< 1 Year,No,35553,152,43,0
1166,Male,24,1,42,0,< 1 Year,Yes,27827,152,166,0
1167,Male,77,1,46,0,1-2 Year,Yes,29131,26,190,0
1168,Male,76,1,18,0,1-2 Year,Yes,30359,26,70,0
1169,Male,59,1,12,1,1-2 Year,No,27299,26,138,0
1170,Male,64,1,28,0,> 2 Years,Yes,46259,26,187,0
1171,Female,73,1,28,1,1-2 Year,No,38179,122,95,0
1172,Male,46,1,7,0,1-2 Year,Yes,38098,124,87,0
1173,Male,25,1,28,1,< 1 Year,No,19366,152,248,0
1174,Male,51,1,43,0,> 2 Years,Yes,49421,26,245,1
1175,Female,57,1,24,0,1-2 Year,Yes,2630,156,250,0
1176,Male,22,1,46,1,< 1 Year,No,32730,152,208,0
1177,Male,20,1,14,1,< 1 Year,No,2630,160,14,0
1178,Male,64,1,28,0,1-2 Year,Yes,34335,122,246,0
1179,Male,54,1,28,0,> 2 Years,Yes,85949,25,238,1
1180,Male,40,1,28,0,1-2 Year,Yes,38997,125,15,0
1181,Male,22,1,47,1,< 1 Year,Yes,37969,152,107,0
1182,Male,46,1,28,0,1-2 Year,Yes,33980,163,171,1
1183,Female,39,1,33,1,1-2 Year,No,55737,124,76,0
1184,Female,24,1,47,0,< 1 Year,Yes,39432,152,70,0
1185,Female,41,1,35,0,1-2 Year,Yes,30508,124,192,1
1186,Male,52,1,11,0,1-2 Year,Yes,24425,120,104,0
1187,Male,23,1,5,1,< 1 Year,No,26533,152,113,0
1188,Male,54,1,35,0,1-2 Year,Yes,40169,26,175,0
1189,Female,45,1,28,1,1-2 Year,No,31482,124,210,0
1190,Male,42,1,28,0,1-2 Year,Yes,25231,26,143,1
1191,Female,29,1,41,0,1-2 Year,Yes,2630,157,161,0
1192,Male,26,1,28,1,< 1 Year,No,23907,152,218,0
1193,Male,27,1,18,0,1-2 Year,Yes,36964,125,250,0
1194,Female,69,0,35,1,1-2 Year,No,28731,26,143,0
1195,Female,57,1,20,1,1-2 Year,No,2630,26,268,0
1196,Male,31,1,26,0,1-2 Year,Yes,33171,124,12,1
1197,Female,50,1,25,0,1-2 Year,Yes,33963,124,258,0
1198,Male,21,1,35,0,1-2 Year,Yes,30489,26,247,0
1199,Male,69,1,0,0,1-2 Year,Yes,2630,122,13,0
1200,Female,40,1,29,0,1-2 Year,Yes,2630,156,228,0
1201,Female,45,1,7,0,1-2 Year,Yes,42875,124,281,1
1202,Female,23,1,28,0,< 1 Year,Yes,70224,152,267,0
1203,Female,55,1,15,0,> 2 Years,Yes,22758,124,117,0
1204,Male,39,1,15,0,1-2 Year,Yes,2630,26,133,0
1205,Female,44,1,35,0,1-2 Year,Yes,24827,26,198,1
1206,Female,28,1,11,1,< 1 Year,No,29080,152,253,0
1207,Male,24,1,15,0,< 1 Year,Yes,26820,152,131,0
1208,Male,45,1,28,0,1-2 Year,Yes,47638,124,291,0
1209,Female,27,1,33,0,< 1 Year,Yes,2630,124,133,0
1210,Female,42,1,28,1,1-2 Year,No,36168,124,258,0
1211,Male,28,1,28,0,1-2 Year,Yes,38614,124,176,0
1212,Female,23,1,30,0,< 1 Year,Yes,26706,152,291,0
1213,Male,30,1,50,0,1-2 Year,Yes,33625,154,167,0
1214,Female,39,1,8,0,1-2 Year,Yes,74248,26,272,1
1215,Female,25,1,8,1,< 1 Year,No,24903,152,109,0
1216,Male,21,1,36,1,< 1 Year,No,46016,160,83,0
1217,Male,62,1,33,0,> 2 Years,Yes,22579,26,284,0
1218,Male,23,1,30,1,< 1 Year,No,29374,152,272,0
1219,Male,21,1,50,0,< 1 Year,Yes,33468,160,143,0
1220,Female,53,1,29,0,1-2 Year,Yes,35858,124,161,1
1221,Female,24,1,29,1,< 1 Year,No,28490,152,81,0
1222,Female,42,1,28,0,1-2 Year,Yes,41064,122,45,0
1223,Female,35,1,28,1,1-2 Year,No,29202,152,243,0
1224,Female,22,1,28,1,1-2 Year,Yes,43251,157,69,0
1225,Female,25,1,46,1,< 1 Year,No,36849,152,277,0
1226,Female,24,1,3,1,< 1 Year,No,19042,152,105,0
1227,Male,28,1,46,1,< 1 Year,No,29337,152,299,0
1228,Female,46,1,28,0,1-2 Year,Yes,30086,13,90,1
1229,Female,23,1,28,0,< 1 Year,Yes,38426,124,289,1
1230,Male,23,1,15,0,< 1 Year,No,32945,152,107,0
1231,Female,25,1,15,0,< 1 Year,Yes,24497,152,16,0
1232,Female,28,1,6,1,< 1 Year,No,26238,152,214,0
1233,Male,49,1,28,1,1-2 Year,No,2630,124,245,0
1234,Male,56,1,41,0,1-2 Year,Yes,51068,26,199,1
1235,Male,49,1,22,0,1-2 Year,Yes,27947,8,43,0
1236,Male,28,1,47,1,< 1 Year,No,2630,152,121,0
1237,Male,44,1,37,0,1-2 Year,Yes,2630,128,214,0
1238,Male,58,1,11,1,1-2 Year,No,45576,26,108,0
1239,Female,55,1,35,1,1-2 Year,Yes,2630,156,29,0
1240,Female,37,1,0,0,1-2 Year,Yes,2630,151,40,0
1241,Female,41,1,8,0,1-2 Year,Yes,2630,7,241,0
1242,Male,54,1,50,0,1-2 Year,Yes,29559,8,183,0
1243,Male,33,1,3,0,< 1 Year,No,37626,152,209,0
1244,Female,23,1,21,0,< 1 Year,No,37240,152,124,0
1245,Female,25,1,13,1,< 1 Year,No,29816,152,166,0
1246,Male,23,1,39,0,< 1 Year,Yes,2630,156,196,0
1247,Female,22,1,26,0,< 1 Year,No,44372,152,132,0
1248,Male,77,1,8,1,1-2 Year,No,24725,124,198,0
1249,Female,33,1,41,1,< 1 Year,No,47300,152,83,0
1250,Male,27,1,41,0,1-2 Year,Yes,2630,156,63,0
1251,Female,21,1,28,0,1-2 Year,Yes,60796,122,232,0
1252,Male,37,1,50,0,1-2 Year,Yes,44150,26,294,1
1253,Male,33,1,9,0,1-2 Year,No,33224,26,56,0
1254,Female,24,1,28,0,< 1 Year,Yes,27893,124,153,0
1255,Female,21,1,36,1,< 1 Year,No,29966,160,193,0
1256,Male,23,1,8,1,< 1 Year,No,40432,152,80,0
1257,Female,38,1,46,0,1-2 Year,Yes,14983,124,131,1
1258,Female,25,1,41,1,< 1 Year,No,27440,152,54,0
1259,Female,22,1,36,1,< 1 Year,No,34163,160,255,0
1260,Female,25,1,46,1,< 1 Year,No,27730,152,91,0
1261,Female,23,1,46,1,< 1 Year,No,27062,151,210,0
1262,Female,22,1,28,0,< 1 Year,No,65871,152,256,0
1263,Male,23,1,41,1,< 1 Year,No,46185,152,127,0
1264,Female,29,1,24,0,< 1 Year,Yes,24547,152,226,0
1265,Female,43,1,28,0,1-2 Year,Yes,33754,26,186,0
1266,Male,24,1,30,1,< 1 Year,No,29736,152,20,0
1267,Female,23,1,4,1,< 1 Year,No,34177,152,192,0
1268,Female,25,1,28,1,< 1 Year,No,34882,152,283,0
1269,Male,45,1,28,0,1-2 Year,Yes,33730,26,150,1
1270,Female,20,1,15,0,< 1 Year,Yes,27649,160,111,0
1271,Female,44,1,50,1,1-2 Year,No,25281,124,58,0
1272,Male,24,1,14,0,< 1 Year,Yes,34931,152,222,1
1273,Female,27,1,28,1,< 1 Year,No,36085,152,282,0
1274,Male,27,1,41,0,< 1 Year,Yes,44658,152,73,1
1275,Female,27,1,13,1,< 1 Year,No,25717,151,84,0
1276,Female,25,1,36,1,< 1 Year,No,2630,151,179,0
1277,Female,38,1,28,0,1-2 Year,Yes,37307,156,55,1
1278,Male,49,1,28,0,1-2 Year,Yes,46014,122,66,0
1279,Male,56,1,41,0,1-2 Year,Yes,41236,26,138,0
1280,Male,43,1,28,0,> 2 Years,Yes,36013,26,79,1
1281,Female,57,1,8,0,1-2 Year,Yes,48273,26,183,0
1282,Male,38,1,38,1,1-2 Year,Yes,32099,124,173,0
1283,Female,24,1,35,1,< 1 Year,No,26464,152,258,0
1284,Male,69,1,28,0,1-2 Year,Yes,34110,124,201,0
1285,Male,45,1,28,1,1-2 Year,No,28308,26,100,0
1286,Male,29,1,28,0,< 1 Year,Yes,37489,152,140,0
1287,Male,60,1,28,0,1-2 Year,No,24774,124,277,0
1288,Male,56,1,28,0,1-2 Year,Yes,30292,26,65,0
1289,Female,37,1,14,1,1-2 Year,No,21253,152,183,0
1290,Male,43,1,28,1,1-2 Year,No,40109,26,158,0
1291,Male,30,1,18,0,1-2 Year,Yes,28992,131,19,0
1292,Male,46,1,28,0,1-2 Year,Yes,39077,13,267,0
1293,Female,22,1,6,1,< 1 Year,No,19317,160,169,0
1294,Male,28,1,11,0,< 1 Year,No,2630,152,172,0
1295,Female,27,1,34,0,< 1 Year,No,21172,152,61,0
1296,Male,67,1,28,0,1-2 Year,Yes,2630,124,46,0
1297,Male,32,1,15,1,< 1 Year,No,41810,152,234,0
1298,Male,22,1,33,1,< 1 Year,No,27699,152,198,0
1299,Male,48,1,15,0,1-2 Year,No,36958,124,126,0
1300,Male,45,1,39,0,> 2 Years,Yes,31104,25,177,0
1301,Female,25,1,6,1,< 1 Year,No,27941,152,136,0
1302,Male,54,1,28,0,1-2 Year,Yes,34058,163,173,1
1303,Male,25,1,29,1,< 1 Year,No,48688,152,296,0
1304,Male,40,1,35,0,1-2 Year,Yes,24936,124,98,1
1305,Female,68,1,8,0,1-2 Year,Yes,32752,124,182,0
1306,Male,44,1,28,0,1-2 Year,Yes,45809,124,52,0
1307,Female,38,1,35,0,1-2 Year,Yes,31733,26,270,1
1308,Male,54,1,33,0,1-2 Year,Yes,37641,26,144,0
1309,Male,23,1,8,1,< 1 Year,No,43555,152,108,0
1310,Female,25,1,28,1,< 1 Year,No,48620,152,291,0
1311,Male,52,1,28,0,1-2 Year,Yes,67185,26,191,1
1312,Male,23,1,28,1,< 1 Year,No,21453,152,263,0
1313,Female,50,1,50,1,1-2 Year,No,28606,122,77,0
1314,Female,29,1,15,0,1-2 Year,Yes,37000,154,140,0
1315,Male,24,1,8,1,< 1 Year,No,37273,152,19,0
1316,Male,26,1,28,0,< 1 Year,Yes,24652,152,151,1
1317,Male,58,1,28,0,1-2 Year,Yes,50285,122,272,0
1318,Female,52,1,26,0,1-2 Year,No,43090,22,281,0
1319,Female,49,1,41,1,1-2 Year,No,32838,26,97,0
1320,Female,41,1,28,0,1-2 Year,Yes,41083,124,26,1
1321,Male,26,1,28,1,< 1 Year,Yes,47828,163,106,0
1322,Male,39,1,28,0,1-2 Year,Yes,28413,124,199,0
1323,Male,68,1,28,1,1-2 Year,No,37536,122,190,0
1324,Female,24,1,9,1,< 1 Year,No,2630,152,244,0
1325,Female,22,1,2,1,< 1 Year,No,37068,152,81,0
1326,Female,64,1,8,0,1-2 Year,Yes,2630,30,279,0
1327,Male,36,1,8,0,1-2 Year,Yes,29770,19,290,0
1328,Male,79,1,3,0,1-2 Year,Yes,24522,30,171,0
1329,Male,25,1,24,0,< 1 Year,Yes,23911,152,278,0
1330,Male,74,1,28,0,1-2 Year,No,85290,26,72,0
1331,Male,35,1,38,0,1-2 Year,Yes,35079,154,54,1
1332,Female,26,1,8,1,< 1 Year,No,25160,152,243,0
1333,Female,21,1,9,0,< 1 Year,Yes,29421,152,283,0
1334,Male,25,1,41,0,< 1 Year,Yes,58120,152,230,1
1335,Female,22,1,6,0,< 1 Year,Yes,26135,152,103,0
1336,Male,70,1,28,0,1-2 Year,Yes,2630,124,38,0
1337,Male,27,1,45,1,< 1 Year,No,23740,152,252,0
1338,Male,45,1,27,0,1-2 Year,Yes,34630,154,193,0
1339,Male,31,1,31,0,< 1 Year,Yes,2630,152,47,0
1340,Male,71,1,25,0,1-2 Year,Yes,28312,30,59,0
1341,Female,21,1,46,1,< 1 Year,No,26116,160,194,0
1342,Female,42,1,28,0,1-2 Year,Yes,35686,13,79,0
1343,Male,51,1,28,0,1-2 Year,Yes,43712,26,155,0
1344,Female,25,1,8,1,< 1 Year,No,38471,152,74,0
1345,Male,24,1,29,1,< 1 Year,No,49556,152,204,0
1346,Male,65,1,28,0,> 2 Years,Yes,36070,26,84,0
1347,Male,47,1,37,0,1-2 Year,Yes,47259,124,283,1
1348,Male,31,1,47,1,< 1 Year,No,45067,152,255,0
1349,Male,38,1,23,1,1-2 Year,Yes,24047,26,159,0
1350,Female,27,1,28,1,< 1 Year,No,40358,152,231,0
1351,Male,57,1,3,1,1-2 Year,No,29053,26,205,0
1352,Female,23,1,37,1,< 1 Year,No,22189,152,124,0
1353,Female,42,1,28,1,1-2 Year,No,36154,125,268,0
1354,Female,25,1,37,0,< 1 Year,Yes,29246,152,196,0
1355,Female,39,1,41,0,1-2 Year,Yes,22060,124,131,0
1356,Male,23,1,11,1,< 1 Year,No,35105,152,255,0
1357,Female,21,1,6,0,< 1 Year,Yes,18898,152,107,0
1358,Male,21,1,15,0,< 1 Year,No,27545,160,262,0
1359,Female,30,1,8,0,< 1 Year,No,39582,152,198,0
1360,Female,25,1,8,1,< 1 Year,No,35947,152,216,0
1361,Male,51,1,28,0,1-2 Year,Yes,54154,26,272,0
1362,Female,32,1,28,0,1-2 Year,Yes,41338,156,100,1
1363,Female,23,1,45,1,< 1 Year,No,30837,152,12,0
1364,Male,22,1,6,0,< 1 Year,Yes,25806,152,118,1
1365,Male,60,1,28,1,1-2 Year,No,48456,124,192,0
1366,Male,35,1,6,1,1-2 Year,No,34942,152,290,0
1367,Male,24,1,50,1,< 1 Year,No,42107,152,253,0
1368,Male,55,1,18,0,1-2 Year,Yes,35377,26,235,0
1369,Female,51,1,28,0,1-2 Year,Yes,60496,122,288,0
1370,Female,24,1,43,1,< 1 Year,No,30124,152,104,0
1371,Female,62,1,28,0,1-2 Year,Yes,69601,60,229,0
1372,Female,40,1,28,0,1-2 Year,Yes,40057,124,208,0
1373,Male,42,1,28,1,1-2 Year,No,32994,26,103,0
1374,Female,27,1,24,1,< 1 Year,No,25034,160,34,0
1375,Female,20,1,46,0,< 1 Year,Yes,19692,160,154,0
1376,Female,22,1,2,1,< 1 Year,No,23451,152,163,0
1377,Female,69,1,50,1,1-2 Year,No,44038,8,95,0
1378,Female,24,1,28,1,< 1 Year,No,30704,152,150,0
1379,Female,20,1,39,0,< 1 Year,No,30262,160,222,0
1380,Male,32,1,8,0,1-2 Year,Yes,57435,124,201,0
1381,Female,24,1,25,0,< 1 Year,No,2630,152,102,0
1382,Male,59,1,28,0,1-2 Year,Yes,29879,124,122,0
1383,Male,34,1,41,0,1-2 Year,Yes,2630,156,198,0
1384,Male,52,1,8,0,1-2 Year,Yes,33404,4,161,0
1385,Female,27,1,41,1,< 1 Year,No,26552,152,110,0
1386,Male,34,1,28,1,1-2 Year,No,39926,124,49,0
