건물코드,기온,강수량,풍속,습도,전력소비량
AJ,27.9,,4.5,81.0,4294.56
CN,24.5,0.0,1.0,91.0,360.72
BS,30.1,0.0,1.8,71.0,3997.68
CB,28.6,,2.7,71.0,3103.92
DV,23.6,,1.9,90.0,415.92
BY,19.9,,4.7,75.0,2131.92
DL,19.5,,4.4,76.0,694.8
CT,27.7,,3.0,97.0,1166.04
DV,24.8,4.9,1.4,98.0,1166.4
CW,24.6,,1.7,86.0,1667.64
AB,26.7,,1.4,82.0,1593.72
BJ,28.4,0.1,3.1,84.0,2938.8
AD,24.5,,1.7,58.0,709.2
CG,26.2,0.0,1.7,71.0,692.46
DC,25.1,0.5,2.3,89.0,774.36
CY,32.5,,2.9,57.0,2210.04
AR,23.7,6.2,1.7,99.0,1020.9
CV,28.5,,1.9,61.0,5727.6
AU,26.1,0.0,0.4,79.0,1235.92
DB,25.9,,0.9,83.0,4424.4
AG,27.1,,1.0,97.0,333.36
CS,26.6,,1.2,80.0,2183.52
AC,18.4,,3.9,59.0,806.4
AB,22.6,,1.0,85.0,1221.12
AK,21.0,,0.0,100.0,1696.56
CD,24.2,0.0,1.8,85.0,4409.64
DN,20.0,,1.8,68.0,1441.26
DI,26.2,,0.7,92.0,1002.6
BD,27.4,,1.7,72.0,460.5
BV,27.4,,1.3,92.0,1712.52
AV,23.0,,3.3,88.0,1168.2
DC,28.6,,6.3,79.0,2341.08
BL,28.0,0.0,2.8,79.0,3354.48
BP,25.5,,1.0,81.0,387.0
CL,23.1,,0.9,92.0,829.44
AZ,28.6,,0.8,43.0,3166.56
AE,24.3,0.5,0.4,92.0,1733.76
BY,22.1,,5.8,61.0,3005.64
CF,26.9,,0.7,62.0,2920.32
AI,30.3,,2.1,53.0,3389.76
DA,27.3,,2.6,75.0,2774.88
BA,29.2,,1.3,70.0,23245.6
CI,26.9,0.0,3.9,90.0,2367.36
DK,24.4,,3.7,71.0,2016.24
DB,27.1,,1.7,78.0,1278.0
AC,30.2,,3.1,61.0,1382.76
BG,29.6,,6.8,75.0,8904.96
DJ,26.8,,3.1,80.0,1795.68
DR,28.0,,3.4,87.0,2336.64
AW,25.0,0.5,0.1,94.0,1725.9
BZ,27.0,,0.9,76.0,1729.2
BD,22.6,1.1,0.8,96.0,1236.9
DF,29.2,,3.1,83.0,3390.24
CN,26.1,0.0,1.2,93.0,473.67
CR,29.6,,4.1,69.0,6791.19
BB,16.1,0.3,2.7,97.0,1582.56
DL,19.7,,0.2,82.0,383.28
DT,26.4,,0.9,56.0,1267.02
DC,19.3,,1.7,80.0,556.2
BN,29.1,,4.5,87.0,3451.2
BS,26.1,,1.9,92.0,3182.4
CN,29.6,0.0,1.5,76.0,443.79
DO,26.7,,1.3,78.0,1381.32
AO,24.8,,0.9,76.0,1952.64
DL,25.0,,4.5,76.0,2020.56
CQ,24.9,0.0,5.1,95.0,3832.8
BA,22.3,,1.6,90.0,15467.2
BE,29.3,,0.3,77.0,1603.08
CJ,28.2,,2.6,70.0,1215.9
CE,21.3,2.7,2.9,99.0,2389.68
CD,27.4,,1.9,45.0,4317.84
CW,22.9,,0.6,91.0,1119.96
CN,26.7,,2.2,50.0,298.26
CB,28.4,,3.0,70.0,3612.6
DD,24.1,,1.8,92.0,1283.76
DJ,26.6,,2.6,94.0,482.22
CY,27.9,,3.6,78.0,2307.96
CB,26.8,,8.1,94.0,829.44
CP,27.3,1.3,4.5,91.0,2316.3
AA,24.2,,2.4,79.0,1810.08
CP,24.7,,1.1,76.0,2385.6
DR,21.9,1.0,3.5,95.0,3212.04
DB,22.8,,2.8,57.0,1051.2
AV,15.3,,1.1,100.0,880.2
DS,23.8,,3.6,74.0,1060.38
BH,22.4,,4.6,51.0,3165.48
AO,31.0,,1.9,62.0,1758.51
CP,24.1,,0.2,88.0,1862.4
BI,26.7,0.7,2.1,91.0,2205.6
DF,25.3,,1.6,88.0,1170.24
BR,20.9,,0.2,100.0,537.12
CF,26.7,,2.5,43.0,2769.6
BI,29.3,,0.1,85.0,2249.7
AD,26.9,,2.3,77.0,721.44
DJ,29.5,,3.6,77.0,2007.72
AE,15.1,,2.9,70.0,1407.6
AW,33.2,,3.1,56.0,1797.0
DQ,27.8,,2.7,76.0,1783.44
CR,27.6,,4.4,65.0,3746.66
AH,24.5,9.4,0.4,100.0,1263.12
AV,18.6,,0.0,94.0,934.56
AX,26.1,,3.6,81.0,10533.0
AA,27.0,,3.6,43.0,3300.48
BJ,18.8,,0.1,90.0,2834.76
AN,27.9,,2.1,68.0,2224.8
BL,24.7,,3.7,66.0,2761.2
DH,30.6,,2.6,56.0,1675.98
BR,23.7,0.4,1.5,99.0,568.8
BE,21.3,,0.6,82.0,874.08
BW,28.9,,4.4,88.0,3303.36
BW,26.3,,1.3,68.0,3566.52
CT,23.7,,1.1,69.0,1055.52
CH,32.2,,2.5,58.0,4708.8
AE,21.9,,0.8,79.0,1355.04
BO,26.1,0.0,3.9,65.0,3611.4
DM,25.7,,0.8,89.0,2355.12
DL,29.4,,2.4,70.0,2176.8
BR,22.9,,0.2,93.0,2288.64
BU,32.5,,2.3,54.0,7542.72
CD,22.5,0.4,0.6,93.0,4388.76
DK,27.9,,2.8,72.0,2202.24
CV,29.1,,6.4,77.0,2777.04
CS,23.9,,2.0,80.0,2224.08
CF,26.6,,1.9,66.0,2801.28
DJ,21.8,,4.6,51.0,1703.16
BM,20.3,,3.6,60.0,3064.8
AN,26.7,,1.8,72.0,1715.52
AA,25.2,,3.5,63.0,2368.32
DN,25.7,0.7,3.2,100.0,982.98
CP,25.8,,1.2,76.0,2022.3
DT,19.0,,2.7,81.0,1069.92
BY,29.1,,2.9,69.0,2478.24
CA,28.7,,2.2,71.0,2353.44
AF,25.5,,3.7,61.0,2917.92
CT,26.1,,2.9,97.0,1131.84
AW,30.4,,2.4,46.0,1055.4
AK,30.0,,1.6,46.0,1972.32
DG,31.9,,3.5,60.0,2583.6
AY,26.1,,1.6,78.0,7911.84
BH,25.2,,0.9,89.0,3348.0
BE,22.0,1.5,1.0,89.0,1282.68
CO,23.1,,4.5,71.0,918.24
BL,25.2,,2.0,87.0,605.88
AJ,27.3,,2.1,77.0,4757.76
AF,28.1,,2.1,79.0,1952.64
DI,24.3,,1.0,93.0,1761.12
BX,18.1,,0.5,71.0,2207.7
AS,26.7,18.8,2.8,92.0,2417.4
DP,27.3,0.8,3.7,89.0,2637.12
BL,21.5,,2.3,97.0,576.72
CE,25.9,,1.9,82.0,2694.6
AB,25.2,,2.0,89.0,2441.16
CI,25.6,,1.4,79.0,3119.04
CP,25.4,,0.3,81.0,1340.1
AJ,27.2,,3.6,73.0,4304.64
AS,19.9,,2.0,76.0,644.4
BR,32.5,,1.3,67.0,4932.0
DQ,20.0,,1.4,73.0,887.4
DI,25.2,0.0,2.5,81.0,1880.46
DE,18.9,,2.1,72.0,727.8
AB,25.1,0.4,1.4,84.0,2275.92
BJ,21.7,,0.1,90.0,2856.0
AF,24.9,,1.7,83.0,2057.76
AF,24.3,,1.3,94.0,1047.84
DP,27.4,,2.2,88.0,2488.32
DC,24.0,,3.1,49.0,1931.4
CD,29.3,,1.7,69.0,4497.84
DB,29.3,,0.1,85.0,1382.4
DU,30.0,,2.0,65.0,1491.66
AL,25.3,,2.4,92.0,1451.16
DO,26.8,1.7,3.3,92.0,1402.02
AD,31.7,,3.7,68.0,1515.78
BB,26.0,,0.4,93.0,1495.8
AQ,26.2,,1.7,71.0,588.6
DM,25.2,0.2,0.6,99.0,465.84
DE,23.7,6.2,1.7,99.0,809.4
CG,23.3,0.0,1.0,91.0,733.32
BL,25.1,,3.0,86.0,485.64
BE,25.5,,0.6,87.0,1038.6
CB,21.2,,3.8,66.0,2774.16
BZ,34.8,,3.7,66.0,2059.2
AL,27.4,0.0,1.5,92.0,1399.86
CE,24.3,,2.4,85.0,2104.56
AY,22.4,,2.2,85.0,5079.72
CI,22.4,3.8,2.2,100.0,3102.48
CQ,25.4,,2.2,72.0,3766.5
BI,24.5,,1.7,58.0,2106.3
BT,21.8,,1.5,53.0,1871.04
CI,24.5,,2.7,56.0,2462.76
CW,25.6,,3.8,88.0,1322.52
BS,22.8,0.0,2.9,74.0,3461.28
CX,32.4,,2.8,62.0,1040.04
DF,28.0,0.0,3.6,54.0,1131.36
BL,28.5,0.0,2.2,59.0,641.16
BL,23.7,,1.1,85.0,542.16
DT,21.9,,0.2,95.0,1270.26
BA,28.5,,4.0,72.0,17234.0
BX,27.4,,0.9,79.0,2860.8
DO,24.7,,0.9,75.0,648.99
AD,29.2,,2.4,77.0,719.64
AX,21.5,,4.8,53.0,9891.0
AL,25.7,,1.0,94.0,1527.66
DU,19.5,,1.3,90.0,834.84
AT,27.7,,1.0,69.0,2974.56
DI,21.7,,0.2,95.0,1586.34
AH,26.6,,2.1,77.0,1636.32
BD,27.3,,0.9,80.0,1116.0
AR,27.8,,1.5,79.0,2441.4
BB,31.6,,1.3,42.0,1500.48
BR,23.1,,2.7,77.0,2956.8
CB,24.8,,2.9,82.0,1981.44
BY,28.5,,0.8,78.0,3534.48
AQ,27.5,,3.1,73.0,973.62
AR,24.4,1.0,1.0,92.0,1018.2
AA,32.1,,1.7,59.0,4467.36
CP,29.9,,2.1,71.0,2110.5
CL,23.8,,3.6,94.0,783.0
CO,22.3,12.1,6.1,100.0,1100.88
AO,26.4,0.0,2.3,86.0,2162.34
BI,30.2,,2.4,75.0,2257.2
AK,21.9,,1.2,94.0,1534.8
DM,24.6,,3.4,65.0,2059.2
BV,16.8,,0.7,99.0,1185.12
DD,23.2,,1.4,92.0,4385.52
BK,24.4,,1.5,84.0,4397.4
DK,18.6,,2.4,79.0,1383.36
BI,23.1,,2.0,84.0,2148.6
BF,27.4,0.0,1.1,79.0,9882.0
DT,25.0,,3.3,52.0,1212.84
AJ,22.7,,1.6,85.0,4741.44
CH,16.5,1.2,1.3,85.0,1611.84
DR,27.2,,2.0,79.0,3088.68
BW,25.5,0.9,2.7,99.0,3731.76
AG,22.6,,0.9,100.0,395.76
CB,17.2,0.0,3.3,94.0,2795.76
BM,25.8,,1.0,90.0,596.64
AZ,25.8,0.0,0.8,93.0,3130.08
DC,31.8,,2.3,69.0,2469.6
CH,24.9,,1.2,75.0,1798.08
DH,27.7,,3.9,59.0,656.46
BH,19.6,,2.8,58.0,3128.76
AS,27.2,,0.4,81.0,746.28
CM,22.8,3.4,3.4,99.0,307.8
AF,20.4,,3.1,63.0,1836.48
DO,20.2,,3.1,71.0,759.42
BV,31.3,,0.6,73.0,1986.48
BN,30.4,,2.1,59.0,3696.6
AO,24.8,,2.4,86.0,1510.29
CI,29.1,,2.2,76.0,4099.32
BJ,23.8,,2.2,94.0,2856.72
BO,25.4,4.3,2.5,97.0,1662.0
AY,25.2,,2.5,80.0,8127.6
BU,25.6,,2.8,74.0,5291.52
AS,33.0,,3.1,63.0,2344.32
CT,30.7,,0.8,80.0,1618.2
AU,18.6,0.0,0.3,92.0,1588.92
DV,16.0,,1.0,95.0,304.56
AL,25.4,,2.2,51.0,1354.32
AL,18.5,0.0,0.8,93.0,1287.0
BL,25.7,,2.5,79.0,2909.88
AP,25.1,,0.6,83.0,1567.44
CI,29.7,,2.9,64.0,3268.8
BO,25.9,0.0,0.7,82.0,5273.4
CN,28.5,,2.3,67.0,378.36
CV,20.6,,5.2,53.0,3111.84
AF,23.6,,0.8,92.0,1702.08
CF,26.6,,1.3,89.0,2888.64
CB,26.3,,3.3,92.0,654.48
CV,19.1,,2.1,79.0,3104.28
DL,23.3,,0.3,100.0,422.4
DQ,32.2,,2.9,57.0,1408.32
BK,16.5,,2.8,68.0,891.0
CL,24.7,,1.4,90.0,816.3
AQ,24.7,,1.1,81.0,1309.86
AX,22.3,0.2,0.9,72.0,12097.2
DD,22.2,,2.3,72.0,1600.56
BB,25.0,,0.8,73.0,1520.64
BW,33.4,,2.6,74.0,3308.76
CR,28.9,,4.6,60.0,3938.95
BJ,23.7,1.0,0.6,100.0,2794.32
DL,25.5,2.9,0.7,100.0,504.24
CX,31.9,,2.1,57.0,1711.8
DH,20.3,,2.6,63.0,1284.84
CB,25.3,,2.2,81.0,3184.56
DN,28.0,,2.2,77.0,1074.06
CW,17.3,0.7,1.6,93.0,1230.12
AK,30.8,,0.7,73.0,2345.76
CF,24.5,,0.9,93.0,2868.48
DM,30.0,,2.4,75.0,2124.24
AF,22.6,,1.1,91.0,1170.72
BH,24.6,,1.1,83.0,3262.32
BM,29.5,,2.2,77.0,2789.28
BG,22.6,23.8,2.1,100.0,8746.56
BS,32.0,,1.7,66.0,4040.64
CD,25.2,,1.3,84.0,4429.8
BZ,34.1,,3.2,52.0,3068.1
BA,27.6,,2.5,84.0,15783.6
DV,25.2,,1.6,56.0,921.36
AQ,31.6,,3.4,65.0,634.68
BS,30.4,,1.6,72.0,3086.4
CK,32.8,,1.1,50.0,1211.85
BK,29.1,,2.2,76.0,5832.6
DB,28.8,,2.5,65.0,5039.28
BZ,28.1,3.6,3.7,95.0,3289.8
BB,28.5,,2.1,78.0,1269.0
CE,17.9,,0.1,83.0,792.36
DH,23.5,,0.9,95.0,539.1
BQ,21.7,,2.1,88.0,443.1
BP,26.6,,1.9,67.0,3011.4
AE,26.5,,2.8,73.0,5371.2
BF,27.6,,1.3,77.0,10001.52
AC,27.7,,1.7,78.0,951.48
BS,25.9,0.1,1.4,97.0,2550.72
CO,22.6,,2.4,100.0,956.88
AG,27.2,,0.9,97.0,334.56
AA,24.2,,1.5,94.0,1785.6
DN,26.0,,0.7,94.0,1771.38
CZ,26.0,,0.8,64.0,1104.72
AW,28.1,,2.0,76.0,1749.3
AG,26.3,,1.1,99.0,337.44
CT,22.6,,0.5,99.0,1063.62
BQ,31.7,,1.0,74.0,3982.8
AX,27.4,,2.1,79.0,14926.2
CX,24.1,,1.4,68.0,1260.72
CS,28.4,,1.6,74.0,2866.56
DL,27.5,,5.3,86.0,2315.28
DJ,20.9,,2.5,54.0,1356.12
DH,26.4,,2.4,61.0,1526.4
AO,28.1,,2.8,78.0,1751.04
BL,28.4,0.0,4.0,85.0,608.76
DT,31.0,,1.6,66.0,1677.96
CR,24.1,,1.7,95.0,3206.27
BZ,26.5,,2.4,85.0,1579.2
CC,32.0,,3.2,83.0,1138.8
DO,25.0,,1.9,66.0,1234.35
DA,27.0,,2.3,81.0,2652.0
DS,27.9,,2.8,78.0,857.52
BO,29.0,0.0,2.8,75.0,2889.6
BP,23.8,,3.1,62.0,2690.28
DI,25.6,1.0,1.4,95.0,649.08
AR,17.7,,1.2,50.0,798.0
AZ,24.5,,0.1,100.0,2730.72
CJ,29.7,,2.4,75.0,2071.26
CO,18.4,,3.1,74.0,986.64
AS,28.2,,0.9,88.0,695.16
BO,26.6,0.0,1.7,84.0,960.6
DJ,21.5,,2.4,91.0,1532.16
BY,32.2,,3.0,58.0,3929.04
BP,24.9,,0.8,80.0,2055.6
AS,29.4,,1.1,45.0,1033.56
AF,30.3,,5.1,76.0,3145.44
BU,29.2,,2.9,65.0,6997.44
AY,31.1,,2.7,69.0,6037.44
DG,28.2,,2.6,55.0,1922.88
DJ,26.4,,2.0,91.0,779.58
CD,30.4,,1.1,61.0,4295.16
DN,18.8,,0.9,83.0,491.22
DB,23.1,,3.5,64.0,4012.56
CY,23.8,,1.2,94.0,1132.56
CM,26.0,,0.7,98.0,509.22
CY,29.9,,1.9,66.0,2334.96
AF,22.6,2.1,1.6,81.0,994.56
CH,26.1,1.1,2.9,96.0,4655.04
DU,24.8,,1.3,84.0,1436.58
AM,24.2,,5.2,77.0,2501.28
AO,32.9,,2.7,62.0,2031.48
AB,25.1,0.0,3.3,88.0,1835.64
CR,27.7,,2.4,44.0,3210.86
BR,17.7,,0.0,95.0,468.96
BA,29.2,,2.9,72.0,23410.8
AW,24.9,,0.9,89.0,1052.4
DJ,29.4,,1.9,67.0,1804.32
AC,30.5,,3.1,71.0,1373.4
DE,29.9,,1.9,65.0,3238.2
AX,20.2,,2.9,66.0,6288.0
BP,30.5,,1.7,63.0,3155.04
CJ,27.2,0.0,2.7,82.0,1135.08
BW,27.1,,2.3,79.0,2873.88
CR,25.6,,1.0,76.0,3299.21
CS,24.0,,1.2,84.0,2264.88
AH,23.8,,1.5,70.0,1224.48
DH,25.7,,1.2,86.0,1247.4
BN,23.2,1.9,5.5,99.0,546.6
DJ,27.4,0.3,3.9,85.0,897.84
CR,21.5,,3.4,59.0,4508.1
BK,26.4,,1.8,73.0,2115.6
CF,22.6,,2.6,50.0,2766.24
BA,18.7,,1.4,85.0,12628.0
CY,26.4,,0.8,62.0,1037.88
CE,35.6,,2.8,51.0,2541.24
CI,22.9,0.0,1.4,94.0,3126.96
DS,31.6,,4.2,77.0,1674.72
BO,28.6,0.0,4.7,83.0,5823.6
CO,27.1,,6.8,89.0,2206.8
AY,28.5,11.4,0.7,89.0,7116.72
CE,25.1,,2.1,83.0,2222.28
CP,24.4,,1.9,81.0,1821.6
CP,23.0,,2.1,90.0,1574.4
CV,15.9,0.8,2.7,96.0,4922.64
DH,22.7,0.3,0.4,91.0,542.52
BB,25.7,0.0,2.8,93.0,1708.2
CL,23.8,,1.9,90.0,1022.94
BS,17.8,,2.4,80.0,2430.24
BH,17.9,0.0,2.0,92.0,3141.0
DB,22.1,,0.3,91.0,1372.32
DQ,25.8,,1.8,34.0,991.44
DB,26.3,,2.6,91.0,1375.92
CM,26.9,,3.5,99.0,428.04
DF,27.2,,3.7,65.0,2592.48
BP,29.9,,3.9,75.0,3326.76
DT,24.9,,0.0,74.0,1188.0
BL,17.7,,1.5,45.0,529.2
BR,30.8,,1.0,72.0,4206.24
AT,24.8,,1.7,84.0,1257.6
AB,22.4,,3.1,69.0,1313.64
BT,21.7,,1.6,72.0,1824.0
AA,28.8,,2.4,82.0,3695.52
DN,22.1,,1.2,100.0,609.84
AA,25.1,,2.9,77.0,2081.28
AH,31.7,,1.0,64.0,1399.44
DH,27.1,,1.0,96.0,561.6
AH,26.5,,1.9,79.0,1484.64
CX,28.0,,0.5,85.0,1246.86
CE,29.4,,1.6,82.0,2497.32
CT,25.4,,0.0,99.0,1174.32
CP,28.0,,2.0,75.0,2885.7
CA,24.0,6.4,2.2,99.0,3881.76
BH,19.3,,1.7,74.0,3134.52
AI,30.6,,2.3,67.0,3211.68
AD,28.9,,3.1,60.0,1377.9
BV,28.6,,1.3,76.0,2497.32
BA,22.9,,1.5,86.0,18186.0
AI,29.4,,4.5,70.0,2424.48
BQ,26.6,,2.1,82.0,3830.1
BS,25.8,0.4,4.2,94.0,2760.0
BW,23.6,,0.5,97.0,2329.2
AB,30.4,,1.3,66.0,2316.6
CR,25.9,,1.2,77.0,3584.75
BP,26.5,,0.5,89.0,369.0
CW,19.8,,2.3,68.0,1585.68
BS,24.8,,2.1,60.0,2284.8
AD,28.1,,1.8,78.0,1251.18
CI,24.4,,1.7,51.0,2152.8
CC,24.9,0.1,0.2,99.0,948.36
AR,26.4,,3.5,65.0,1084.8
BN,27.3,,1.9,92.0,3436.95
AJ,28.9,,1.9,73.0,4220.16
AA,29.5,,2.8,65.0,4126.08
BZ,26.8,,1.6,81.0,1780.8
AO,20.2,,1.9,98.0,1612.8
CF,27.9,,1.1,68.0,3016.8
AY,25.1,,2.4,84.0,5061.96
DG,24.1,,1.9,85.0,2463.12
CS,26.3,,1.6,83.0,1868.4
DQ,18.8,,0.6,74.0,1352.88
CR,20.7,,2.1,81.0,3216.03
DM,25.9,,2.5,99.0,438.72
AS,22.4,,2.6,68.0,1079.64
DL,28.0,,3.4,71.0,732.72
BU,28.9,,2.1,83.0,4910.88
AQ,19.8,,2.1,84.0,1417.5
DU,13.4,0.0,0.0,89.0,521.46
DT,24.2,,1.9,75.0,1706.94
AT,29.5,,4.2,70.0,3487.2
AI,31.9,,3.1,68.0,3598.56
CF,30.1,,3.6,62.0,3005.76
CU,29.9,,4.0,64.0,4253.28
AQ,22.4,17.6,2.1,100.0,1678.86
AS,21.8,,0.6,91.0,639.0
BQ,21.7,,0.1,97.0,695.4
AF,29.1,,5.4,77.0,3085.92
AT,24.2,,0.5,80.0,1043.52
DH,20.0,,0.6,85.0,1024.92
BR,20.7,,0.4,81.0,2892.0
CD,22.0,2.1,1.3,90.0,4270.68
BC,17.9,,0.0,88.0,1192.8
AB,27.8,0.0,2.1,81.0,1179.72
BK,29.0,,0.7,86.0,2223.0
CY,21.9,16.1,1.3,95.0,1181.52
CM,26.5,,2.3,89.0,338.85
CE,30.0,,2.9,62.0,3254.4
DM,20.5,,0.2,92.0,360.72
CS,33.4,,3.9,58.0,2809.68
CM,26.4,,1.5,87.0,595.26
BG,25.8,,2.8,88.0,8767.44
CG,25.6,0.0,2.4,69.0,1783.62
AS,19.0,,1.7,85.0,628.56
DL,32.0,,2.5,59.0,2387.04
AP,28.9,,1.6,70.0,4961.76
CP,26.5,,2.1,69.0,1723.8
DN,26.9,0.3,1.2,98.0,974.88
BK,29.6,,3.8,53.0,5444.4
CY,25.0,0.6,2.5,79.0,1124.64
CP,27.2,0.0,2.3,87.0,2167.5
BZ,34.5,,7.1,60.0,3153.6
CV,28.7,,3.2,58.0,4539.6
DV,27.6,,2.5,87.0,689.52
DF,32.7,0.0,2.9,61.0,3405.6
AA,25.9,,1.2,81.0,2015.52
CX,25.7,,1.3,70.0,1256.76
DP,22.7,,1.1,91.0,1545.12
BF,16.3,,3.6,64.0,9120.96
CU,22.6,,0.6,97.0,3205.44
AV,24.0,,0.5,94.0,1659.96
CQ,24.6,,2.6,43.0,5011.2
AC,22.9,7.9,2.1,99.0,1884.96
CI,19.0,,2.4,71.0,2927.16
BK,29.6,2.2,0.5,85.0,5991.6
DS,22.6,,4.2,76.0,1335.6
CL,21.1,,0.8,94.0,831.6
BO,25.9,0.0,1.2,80.0,4932.6
BY,15.1,,1.7,91.0,1558.08
CI,26.3,0.8,3.9,87.0,4383.72
AV,29.3,,1.8,84.0,1120.32
DN,25.5,4.8,3.1,80.0,1884.96
CB,20.0,,1.9,72.0,2837.88
BR,24.8,,0.8,89.0,3854.88
DG,29.3,,2.4,68.0,2976.72
BC,20.0,,2.0,61.0,997.8
CS,32.0,,2.0,53.0,2966.4
DO,27.4,,3.5,84.0,898.02
CN,24.0,,1.5,86.0,362.79
AF,29.5,,3.7,56.0,2946.24
CR,30.0,,3.5,53.0,5582.8
BH,28.8,,2.9,80.0,3506.04
CY,24.4,,1.3,88.0,1084.32
BH,26.1,,3.6,81.0,3397.68
CO,18.2,,2.5,82.0,774.24
CO,23.1,,1.7,88.0,1665.6
DQ,31.4,,1.6,51.0,1208.52
BJ,25.7,,1.2,91.0,2950.32
BU,23.7,,2.5,53.0,5629.92
AF,25.3,,0.2,88.0,1061.76
DK,26.2,,2.4,95.0,1451.76
AF,27.2,,0.9,97.0,1337.76
AP,28.6,,3.7,81.0,2148.96
DK,23.9,,2.1,89.0,910.08
AO,31.2,,2.4,55.0,1601.28
DF,21.9,,4.4,46.0,1889.76
CK,17.6,1.1,1.7,92.0,576.45
CL,21.0,0.1,4.9,89.0,764.28
BT,26.7,,2.5,41.0,1727.52
AK,30.7,,2.2,67.0,2478.96
BB,18.9,,1.7,80.0,1356.84
DH,24.1,,1.4,93.0,914.04
CT,22.1,,2.8,68.0,1237.68
CM,26.1,3.0,0.9,99.0,736.38
CF,25.6,,1.2,86.0,2826.72
BE,19.2,,3.4,69.0,1530.72
BL,27.3,0.8,3.7,89.0,932.04
DS,22.4,,1.9,93.0,947.16
BA,25.9,,1.3,81.0,14887.6
AO,15.1,0.0,2.9,96.0,1969.29
BW,27.4,,2.0,97.0,2724.48
CZ,27.6,,1.3,67.0,1868.64
CU,26.9,,3.7,69.0,3979.68
AD,27.3,0.2,2.8,91.0,721.08
BI,28.2,,0.9,77.0,2203.8
CQ,25.6,7.7,2.5,97.0,5821.8
BU,28.9,,3.4,43.0,6788.64
BM,24.7,0.1,0.3,95.0,657.6
BW,27.3,0.0,2.6,97.0,3006.36
BI,29.9,,2.9,63.0,2208.9
CA,24.3,,1.2,89.0,1358.4
CS,20.2,,1.0,70.0,2101.2
DF,22.0,,3.1,80.0,1964.64
CL,29.7,,3.4,78.0,1760.76
DQ,28.8,,0.6,70.0,1516.68
BS,26.5,0.0,2.2,84.0,2433.6
CH,26.2,,3.1,82.0,4445.76
CA,23.7,,2.8,85.0,1216.32
CH,29.2,,2.8,63.0,4557.6
DI,27.7,,2.3,54.0,1797.66
CN,24.4,,1.0,94.0,407.43
DD,24.9,0.0,3.6,76.0,1667.52
AG,19.5,1.4,1.1,91.0,1067.04
DE,28.1,,4.5,52.0,774.6
BB,24.0,,1.3,77.0,1138.32
CU,22.3,,0.6,69.0,2930.88
AD,30.7,,1.8,67.0,1554.48
AP,23.5,0.0,1.9,98.0,1178.88
CO,26.5,,4.1,77.0,977.28
AL,29.0,,3.1,74.0,1813.14
DN,28.2,,1.3,90.0,1119.24
BC,25.2,,1.8,85.0,1435.5
DE,25.9,0.0,3.3,82.0,3112.2
BH,27.7,,3.1,83.0,3523.68
BG,22.7,,2.1,87.0,8636.4
BO,24.4,5.8,1.5,99.0,1192.2
AO,30.8,,2.3,64.0,1621.08
AH,24.4,,0.7,59.0,1305.12
AE,32.6,,2.6,62.0,5902.56
DE,25.3,,2.4,92.0,811.2
AH,25.7,,0.3,97.0,1406.88
DS,27.1,,3.6,62.0,1103.94
DQ,25.8,0.0,0.8,90.0,973.44
BR,23.7,26.7,1.6,100.0,3349.44
AG,23.8,,2.5,55.0,971.52
BK,26.3,0.5,5.4,89.0,5605.2
DV,30.6,,4.2,67.0,1205.28
AH,26.2,,1.7,89.0,1220.4
CG,25.4,0.0,0.7,78.0,722.16
BI,27.7,,3.1,83.0,2248.8
CB,22.7,0.0,4.3,89.0,3264.84
DU,19.3,,3.3,86.0,1328.76
DH,17.8,0.1,0.0,95.0,594.0
CA,30.0,,2.8,60.0,3395.52
BP,27.1,0.2,1.9,89.0,2105.28
BQ,23.1,,1.5,90.0,1168.2
AZ,24.7,0.8,1.2,99.0,2804.64
DP,21.5,,1.9,90.0,1495.92
CM,27.3,,1.8,69.0,757.26
DB,30.0,0.0,2.2,73.0,1244.52
CX,24.1,,0.3,96.0,1091.34
AU,23.9,1.0,1.0,89.0,1654.76
DS,29.8,,2.5,77.0,1578.24
DH,27.9,0.6,1.1,69.0,1581.12
DD,27.7,,3.3,74.0,2157.84
BW,32.8,,4.8,69.0,3448.08
CX,31.3,,1.8,68.0,1672.92
AU,25.8,0.0,1.2,83.0,3252.69
AT,22.1,,0.7,92.0,2739.84
BC,27.7,,4.8,75.0,1243.5
DK,24.5,,2.5,82.0,1179.12
BU,25.1,,0.9,79.0,4795.2
CS,34.6,,3.6,51.0,2809.92
DM,22.9,,0.0,98.0,563.76
DQ,27.6,,1.6,63.0,861.84
DT,29.8,,4.1,74.0,1721.34
BF,26.7,,1.9,53.0,9680.4
BK,33.7,,2.9,49.0,5736.0
AS,24.0,0.0,3.5,70.0,1949.4
CQ,28.6,0.0,4.7,83.0,4182.9
CA,23.4,,3.8,60.0,1694.4
DA,21.8,,0.3,89.0,2098.08
BJ,31.0,,3.1,68.0,3043.2
AA,17.7,0.0,2.8,93.0,1456.8
AG,18.4,,2.4,58.0,1023.36
CZ,21.5,,0.4,99.0,829.92
CX,23.0,,0.2,98.0,1065.24
DR,26.4,0.0,4.3,92.0,3584.28
BU,24.4,,2.8,57.0,5916.96
DV,25.6,,1.1,78.0,794.4
CM,24.9,,0.9,96.0,605.16
CD,25.2,,3.2,70.0,4265.28
AN,24.9,,3.4,77.0,2138.4
AC,22.3,,0.7,90.0,1169.28
CS,24.2,5.9,3.6,94.0,2607.36
CX,22.8,,0.8,92.0,1134.18
BA,23.0,1.4,2.1,91.0,14627.2
