Id,LotFrontage,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,KitchenQual,Fireplaces,GarageCars,GarageArea,SalePrice
421,88,Veenker,6,1976,1976,TA,1,2,487,181532.7068
422,83,Crawfor,7,1941,1950,Fa,1,1,261,174540.3824
423,58,IDOTRR,6,1926,1998,TA,0,1,222,112993.2197
424,,Gilbert,7,2003,2003,Gd,1,2,461,210027.5905
425,89,SawyerW,7,2007,2007,Gd,0,2,510,166990.4212
426,,NoRidge,7,1991,2008,Gd,1,2,551,256599.6477
427,,Somerst,8,2003,2004,Gd,2,2,579,281764.2544
428,79,Gilbert,7,2004,2005,Gd,1,2,459,188540.1526
429,68,NAmes,5,1974,1974,TA,0,2,507,146205.103
430,138,Edwards,10,2007,2008,Ex,1,3,911,184816.2688
431,,NWAmes,6,1969,1969,TA,0,2,543,183936.3953
432,87,CollgCr,6,1997,1997,Gd,0,2,603,217242.7465
433,68,Edwards,5,1934,1950,TA,0,1,253,86847.67544
434,97,Timber,8,2007,2007,Gd,1,3,749,239002.143
435,,Gilbert,7,2002,2002,Gd,1,2,462,221936.8476
436,58,IDOTRR,6,1940,1950,Gd,0,2,747,129523.7186
437,63,BrkSide,5,1950,1950,TA,0,1,335,132656.705
438,,NWAmes,6,1978,1978,TA,1,2,591,148181.4005
439,83,Timber,6,1989,1989,TA,1,2,465,175648.8813
440,32,Somerst,8,1999,2000,Gd,0,2,507,172601.1266
441,50,Timber,7,1986,1986,Gd,1,2,539,198608.1162
442,73,Sawyer,5,1968,1968,TA,0,1,321,108139.9964
443,88,NAmes,5,1960,1960,TA,0,1,313,149917.4609
444,77,OldTown,5,1900,2006,TA,0,2,447,111510.2357
445,71,CollgCr,7,2004,2004,Gd,0,2,653,179772.0527
446,78,Somerst,7,2003,2003,Ex,1,2,608,242488.2737
447,88,NWAmes,6,1978,1998,TA,1,2,506,178521.7283
448,,Mitchel,7,1990,1991,Gd,0,2,524,173390.7127
449,86,CollgCr,7,1999,1999,Gd,0,2,604,204021.8337
450,,Crawfor,6,1942,1950,Gd,2,1,240,177844.1213
451,,Edwards,5,1953,1953,TA,1,2,676,145566.5283
452,64,Gilbert,6,1997,1997,TA,1,2,417,154079.8271
453,77,NAmes,5,1962,1962,TA,0,1,327,134544.9753
454,87,CollgCr,7,2001,2001,Gd,0,2,649,230265.3977
455,87,SawyerW,8,1983,2009,Gd,1,2,639,316604.5599
456,88,NWAmes,6,1976,1976,TA,1,2,500,152581.0979
457,87,ClearCr,6,1997,1997,Gd,0,2,630,200100.0694
458,68,NAmes,5,1955,1955,TA,1,2,599,130167.4775
459,68,SWISU,7,1921,1950,TA,1,1,339,158362.114
460,96,Timber,8,2005,2006,Gd,2,3,907,370211.8025
461,60,IDOTRR,4,1958,1958,TA,0,2,463,112217.1282
462,93,NoRidge,8,1992,2000,Gd,1,2,568,285300.2865
463,128,NAmes,6,1962,1962,TA,1,2,911,176057.4821
464,78,SWISU,5,1938,1950,TA,2,1,277,113439.7253
465,71,SawyerW,7,2004,2005,Gd,0,0,27,141341.667
466,64,OldTown,6,1910,1990,TA,0,2,495,150790.4018
467,,CollgCr,9,2000,2000,Ex,2,3,763,313358.0899
468,,Veenker,9,1977,1977,Gd,1,3,891,260825.1738
469,73,Gilbert,6,1994,1995,TA,1,2,370,174002.6821
470,78,NAmes,5,1959,1959,TA,0,1,313,133995.8716
471,42,NridgHt,6,2005,2005,Gd,1,2,651,200662.4105
472,103,NAmes,6,1957,1957,TA,2,2,567,162332.4214
473,58,OldTown,5,1955,1955,TA,0,2,603,124466.5811
474,78,SawyerW,6,1992,1992,Gd,1,2,489,189007.7582
475,29,MeadowV,4,1970,2008,TA,1,0,27,97017.64226
476,73,CollgCr,7,1998,1998,TA,0,2,566,200291.0983
477,104,NAmes,7,1967,2007,Gd,1,2,591,242211.9899
478,63,BrkSide,5,1925,1994,TA,1,1,335,116077.6485
479,,Mitchel,6,1976,1976,TA,2,2,566,146813.9767
480,,ClearCr,5,1964,1964,TA,0,2,417,190436.8013
481,68,SWISU,5,1958,1958,TA,0,1,426,108685.8893
482,67,NAmes,6,1954,1954,Gd,0,2,555,105788.1823
483,32,Edwards,7,2004,2004,Gd,0,2,407,135175.2013
484,,NAmes,5,1953,2004,TA,1,1,398,161619.6203
485,80,CollgCr,7,2003,2003,Gd,0,2,585,226140.6373
486,75,Edwards,3,1945,2007,TA,0,1,267,64353.72198
487,81,Timber,8,2007,2007,Gd,0,3,637,201021.7736
488,120,CollgCr,5,1994,1995,TA,0,2,699,145073.7122
489,,Gilbert,7,1999,1999,Gd,1,3,685,264330.1243
490,,CollgCr,5,1994,1994,TA,0,2,774,147561.4291
491,,Timber,6,1958,1958,Gd,1,2,552,137541.1364
492,,Somerst,6,2000,2000,Gd,1,2,467,168655.4615
493,,Somerst,9,2001,2001,Gd,1,2,572,232128.678
494,70,NAmes,6,1958,2007,Gd,0,2,507,151636.3826
495,76,CollgCr,8,2007,2007,Gd,0,2,605,212326.4424
496,58,Somerst,9,1999,2000,Gd,1,2,533,329197.3526
497,118,NridgHt,8,2006,2007,Gd,1,3,935,440096.5827
498,68,OldTown,5,1925,1950,Ex,0,1,291,125114.8158
499,58,BrkSide,5,1921,1950,TA,0,1,232,89086.13365
500,61,Crawfor,7,1918,1990,TA,1,1,242,152723.5688
501,78,NAmes,4,1970,1970,TA,0,2,490,124512.4545
502,,Somerst,6,2000,2000,Gd,1,2,467,177091.0438
503,70,Edwards,7,2003,2004,Gd,1,2,643,185265.1718
504,68,OldTown,4,1890,2006,TA,0,0,27,119100.3057
505,68,NoRidge,8,1998,1998,Gd,1,3,989,329796.2333
506,73,SWISU,6,1940,1950,TA,0,1,258,95372.10986
507,44,CollgCr,6,2003,2003,Gd,0,2,447,131582.118
508,83,IDOTRR,5,1950,1950,TA,0,1,309,152009.1888
509,,SWISU,6,1939,1950,TA,1,2,426,123218.8846
510,70,OldTown,4,1920,1950,TA,0,2,315,89035.2779
511,80,Sawyer,4,1967,1967,TA,0,0,27,123610.6597
512,,SawyerW,5,1983,1983,Gd,0,2,531,144207.5817
513,59,OldTown,5,1923,1950,TA,0,2,603,125977.5759
514,58,Edwards,6,1962,2001,TA,0,1,307,139241.0857
515,88,NWAmes,6,1979,1999,TA,1,2,505,178237.8251
516,68,OldTown,6,1920,1998,TA,0,0,27,79908.58581
517,32,Somerst,6,2000,2000,Gd,0,2,467,166022.9175
518,84,Somerst,8,2006,2006,Gd,1,2,511,230071.1323
519,71,Crawfor,6,1914,1995,TA,0,2,427,141826.8447
520,78,OldTown,6,1900,1950,Ex,0,1,384,146051.9953
521,78,Sawyer,5,1962,1962,TA,0,2,603,132174.7969
522,93,Somerst,9,2005,2006,Ex,2,3,822,384585.2118
523,,Gilbert,7,1991,1992,Gd,1,2,429,160311.9774
524,79,CollgCr,8,2008,2008,Gd,1,3,931,228185.2576
525,74,NAmes,6,1958,1998,TA,0,1,324,155309.4679
526,77,NAmes,5,1957,1957,TA,1,1,326,141023.7126
527,,NAmes,6,1960,1987,Gd,2,2,599,181901.8285
528,61,OldTown,3,1958,1958,TA,0,1,393,84337.46104
529,68,OldTown,5,1940,1950,TA,0,1,283,74788.08358
530,68,SWISU,4,1967,1967,TA,0,0,27,131258.2175
531,50,Timber,7,1985,1985,Gd,0,2,555,184885.0969
532,,IDOTRR,6,1930,1950,TA,0,2,467,89392.74599
533,85,Mitchel,5,2007,2008,TA,0,0,27,110374.2975
534,,Blmngtn,8,2003,2003,Gd,1,2,427,215198.3761
535,70,Gilbert,6,1999,2000,TA,1,2,487,175026.6532
536,99,NAmes,5,1969,1969,TA,0,4,995,200004.3094
537,79,Mitchel,6,2001,2002,Gd,1,2,587,215019.5252
538,63,Crawfor,7,1918,1998,Gd,1,1,243,190053.0346
539,83,Somerst,8,2003,2004,Gd,1,2,675,250077.1894
540,89,ClearCr,7,1953,1953,TA,1,2,694,225019.8237
541,83,Somerst,7,2007,2007,Gd,0,2,632,195482.9893
542,68,OldTown,4,1900,1998,Fa,0,1,307,81215.69398
543,73,NAmes,6,1969,1969,TA,0,2,487,151054.9699
544,52,Crawfor,8,2004,2005,Gd,1,2,552,265792.1142
545,68,OldTown,5,1900,1970,TA,1,2,547,160094.6845
546,47,Edwards,5,1984,1984,TA,0,1,291,120864.3964
547,82,Edwards,4,1955,1955,Fa,0,0,27,70133.38229
548,90,NAmes,5,1959,1998,Gd,0,1,507,175341.3145
549,98,OldTown,6,1880,1950,Fa,0,1,232,117562.4844
550,100,Somerst,8,2007,2008,Gd,0,3,857,235136.4064
551,78,Sawyer,5,1963,1999,TA,1,2,507,175020.1654
552,47,CollgCr,5,1977,1977,TA,0,1,335,116049.0522
553,80,Somerst,8,2007,2007,Gd,0,2,625,208799.9768
554,59,BrkSide,5,1925,1950,TA,0,1,477,88003.54568
555,,Crawfor,8,1929,1950,Gd,2,2,427,230112.6371
556,80,NridgHt,9,2006,2006,Ex,1,3,858,393473.2183
557,98,CollgCr,7,2002,2002,Gd,0,3,1258,237492.4092
558,52,Crawfor,8,2007,2008,Ex,1,2,552,286584.9794
559,,Crawfor,6,1932,1950,TA,1,2,459,220117.8932
560,104,NridgHt,10,2007,2008,Ex,1,3,873,426020.6192
561,,Crawfor,7,1971,1971,TA,2,2,652,229673.2801
562,,NWAmes,7,1978,1978,Gd,2,4,1341,303423.335
563,71,NAmes,5,1970,1990,TA,0,2,603,145570.2618
564,68,OldTown,3,1915,1950,TA,0,3,963,105229.7097
565,95,NAmes,5,1959,1959,TA,0,1,339,129599.6401
566,61,Blmngtn,7,2006,2007,Gd,1,3,675,194399.8964
567,122,NoRidge,9,1993,1994,Ex,1,3,986,470352.1274
568,103,NridgHt,7,2005,2005,Gd,1,2,559,220036.4482
569,29,MeadowV,4,1972,1972,TA,0,1,280,85467.21545
570,58,Timber,5,1963,1963,TA,2,3,1022,187026.2062
571,,StoneBr,8,1985,1985,Gd,1,2,591,275409.2084
572,58,IDOTRR,5,1900,1993,Gd,0,2,603,139388.379
573,113,NridgHt,9,2006,2006,Ex,1,3,721,380177.4038
574,44,CollgCr,5,1972,1972,TA,1,1,365,133755.9162
575,60,BrkSide,6,1934,1950,TA,1,2,555,114518.2218
576,96,Sawyer,6,1960,1960,TA,1,2,507,156713.9881
577,108,Mitchel,5,1960,2006,TA,1,2,363,115140.5161
578,,NWAmes,6,1966,2000,Gd,0,2,511,173034.298
579,73,NAmes,5,1956,1956,Fa,0,1,335,118366.7336
580,68,Edwards,4,1954,1972,TA,0,1,575,135107.7958
581,68,SWISU,5,1939,1997,Gd,1,1,267,179781.592
582,58,Edwards,4,1941,1950,TA,0,1,261,113060.4439
583,78,NAmes,5,1959,2005,TA,0,2,615,145063.9155
584,68,BrkSide,6,1915,2003,TA,0,1,411,153610.0237
585,67,NridgHt,8,2007,2007,Ex,1,3,667,356760.148
586,32,NPkVill,6,1978,1978,TA,1,2,467,144742.4533
587,67,SawyerW,7,1993,1993,Gd,1,3,705,228078.8025
588,71,Mitchel,5,1991,1992,TA,0,0,27,93791.33165
589,76,OldTown,6,1935,1998,Gd,0,1,189,122294.3367
590,,Gilbert,6,1992,2007,TA,0,2,447,176180.417
591,92,Somerst,6,2005,2005,Gd,1,2,555,239592.0824
592,90,NWAmes,7,1978,1978,TA,1,2,505,157005.5393
593,75,Gilbert,7,2004,2004,Gd,1,2,427,190006.2067
594,71,Sawyer,5,1941,1973,Gd,0,3,654,138387.7022
595,88,NAmes,5,1954,1954,TA,0,1,307,128315.7579
596,83,Sawyer,5,1963,1963,TA,0,1,335,133012.6039
597,83,Edwards,6,1977,1977,TA,0,2,467,159856.9227
598,116,NridgHt,8,2004,2005,Gd,1,3,718,309032.8517
599,73,CollgCr,7,2002,2001,Gd,0,2,604,204576.2084
600,,Sawyer,5,1963,1995,Gd,0,1,327,127274.974
601,73,CollgCr,5,1994,1994,TA,0,2,555,156420.6754
602,72,CollgCr,8,2008,2008,Gd,0,3,803,245372.0631
603,70,NridgHt,8,2003,2004,Ex,1,2,615,274064.6191
604,53,Edwards,3,1914,1950,TA,0,1,227,58715.33611
605,,BrkSide,7,1945,1950,Gd,0,1,279,139356.7742
606,68,Edwards,6,1924,1950,TA,0,0,27,79160.32488
607,73,ClearCr,5,1968,2003,Ex,2,1,479,143032.8746
608,60,BrkSide,5,1930,1950,TA,1,2,507,136899.6378
609,,ClearCr,7,1977,2001,TA,2,2,717,240224.3533
610,70,Mitchel,5,1992,1992,TA,0,2,467,138428.5378
611,76,CollgCr,7,2001,2002,Gd,1,2,635,223645.0985
612,76,CollgCr,7,2005,2007,Gd,0,2,535,203086.2201
613,68,Crawfor,7,1915,1970,Gd,1,3,669,140030.3965
614,81,CollgCr,7,1996,1996,Gd,1,2,505,203142.2536
615,,NAmes,6,1970,1970,TA,2,2,577,237953.6617
616,88,CollgCr,8,2004,2005,Gd,0,3,915,305960.4222
617,74,NAmes,6,1959,1998,Gd,0,1,324,154690.0394
618,92,NoRidge,8,1998,1998,Gd,1,3,912,279119.3488
619,88,NAmes,5,1962,1962,TA,0,1,326,123479.2927
620,62,Crawfor,5,1926,1950,TA,0,1,379,140174.3933
621,92,Sawyer,5,1968,1968,TA,0,2,713,146339.7089
622,81,Edwards,5,1969,1969,TA,0,1,387,125901.1902
623,93,Crawfor,7,1994,2007,Gd,0,2,500,224710.0201
624,88,NAmes,6,1950,2005,TA,0,1,298,140019.194
625,116,NridgHt,9,2006,2007,Ex,2,2,867,325155.1757
626,,CollgCr,8,2001,2001,Gd,1,2,587,291700.7275
627,78,Sawyer,5,1963,1963,TA,1,1,411,114192.1212
628,78,NAmes,5,1959,1959,TA,0,1,699,132849.8876
629,74,CollgCr,8,1998,1999,Gd,1,2,710,267296.415
630,73,Sawyer,5,1961,1994,TA,1,1,315,135057.7838
631,86,NWAmes,6,1981,1981,Gd,1,2,603,175716.8901
632,29,MeadowV,4,1973,2006,TA,0,1,324,105138.6644
633,83,SawyerW,7,1992,1992,Gd,0,2,533,194944.5048
634,58,OldTown,5,1954,1954,Gd,0,1,283,93025.54464
635,,NWAmes,8,1976,1996,Gd,2,2,858,299898.9837
636,,Timber,5,1948,1950,TA,2,2,599,160119.8411
637,62,Crawfor,7,1920,1950,TA,1,1,243,200258.2657
638,65,NAmes,6,1950,1950,Gd,1,1,333,124187.7243
639,64,NWAmes,7,1978,1978,Gd,2,2,577,240681.5618
640,,Sawyer,5,1966,1966,TA,0,1,291,125312.3871
641,78,NAmes,5,1958,1958,TA,0,2,651,129903.0862
642,90,ClearCr,7,1979,1979,TA,2,2,505,228156.596
643,,NWAmes,6,1977,2000,Gd,1,2,556,215096.4821
644,118,NridgHt,9,2003,2004,Ex,2,3,985,454524.5213
645,93,CollgCr,7,2006,2006,Gd,1,2,467,155854.9265
646,58,BrkSide,5,1924,1950,Gd,0,0,27,109709.9824
647,44,NridgHt,7,2003,2004,Gd,0,2,501,170009.22
648,49,MeadowV,5,1977,1977,TA,1,1,363,127145.422
649,90,Crawfor,5,1949,1950,TA,0,3,898,145161.0955
650,67,Gilbert,6,1999,2000,TA,1,2,487,178503.5163
651,68,Sawyer,5,1940,1997,TA,0,1,267,108081.8928
652,,ClearCr,6,1978,1992,Gd,1,2,549,232855.2587
653,,NAmes,5,1966,1966,TA,0,1,291,131474.8766
654,83,NAmes,5,1956,1958,TA,0,1,411,127473.5413
655,67,Gilbert,7,2006,2006,Gd,1,2,561,216080.3254
656,58,BrkSide,6,1948,1950,TA,0,1,339,136656.009
657,58,BrkSide,5,1925,1950,TA,0,1,237,98383.08055
658,109,StoneBr,8,2005,2005,Ex,1,3,710,356751.7111
659,88,NAmes,6,1964,1997,TA,1,2,566,209428.3354
660,73,SawyerW,6,1995,1995,Gd,0,2,552,175263.7997
661,100,OldTown,6,1912,1950,TA,0,0,27,104350.5645
662,,Gilbert,7,1992,1993,Gd,0,2,447,155678.2947
663,88,NAmes,6,1963,1963,TA,1,1,291,133909.3439
664,73,Somerst,7,2005,2006,Gd,0,2,642,186544.962
665,83,Mitchel,6,1940,1985,TA,0,1,450,160322.2933
666,29,BrDale,5,1972,1972,TA,0,1,291,119619.825
667,92,NoRidge,8,1997,1997,Gd,1,2,543,257367.3445
668,91,Timber,7,2009,2009,Gd,0,2,677,224697.7201
669,88,NAmes,6,1965,1965,TA,0,2,467,138769.5605
670,65,Edwards,5,1952,1952,TA,0,1,335,123577.7687
671,56,CollgCr,8,2003,2003,Gd,1,2,529,232187.8823
672,74,CollgCr,8,2007,2007,Gd,1,3,897,238612.3278
673,61,StoneBr,9,2004,2004,Ex,1,3,697,375692.3239
674,78,Sawyer,5,1971,1990,TA,0,2,603,124596.2893
675,83,Edwards,5,1965,1965,TA,0,0,27,100158.3704
676,52,Mitchel,7,2002,2002,Gd,1,2,603,219752.5939
677,88,OldTown,4,1900,2003,TA,0,1,308,104978.9821
678,,SWISU,4,1907,1950,TA,0,0,27,69289.07125
679,,Gilbert,6,2002,2003,Gd,1,2,420,183402.8293
680,,Edwards,1,1922,1950,Fa,0,0,27,61005.59719
681,101,NridgHt,8,2003,2004,Ex,1,3,683,285251.5385
682,76,Edwards,5,1956,1956,Gd,1,1,349,163574.1736
683,,ClearCr,6,1992,1992,Gd,2,2,528,240070.7544
684,60,BrkSide,6,1931,1950,TA,1,1,587,127505.0701
685,,NAmes,3,1949,1950,TA,0,2,427,87509.05506
686,72,Gilbert,7,2007,2007,Gd,0,2,489,175649.3328
687,77,NAmes,5,1962,1962,TA,1,1,291,169606.4492
688,113,IDOTRR,3,1915,1982,Fa,0,0,27,85220.03423
689,,BrkSide,5,1950,1950,Gd,1,1,379,110185.4771
690,73,CollgCr,7,2003,2003,Gd,0,2,575,208518.8763
691,68,StoneBr,10,2006,2006,Ex,1,3,785,466081.511
692,66,Mitchel,5,1968,2003,TA,0,1,315,129063.474
693,88,NAmes,6,1966,2008,Gd,2,2,569,225247.6251
694,68,IDOTRR,6,1915,1950,TA,1,2,747,165104.3702
695,68,IDOTRR,3,1922,1950,TA,1,1,237,91008.12466
696,60,NoRidge,8,1994,2005,Gd,1,3,738,402116.8064
697,,NAmes,6,1970,1970,TA,1,2,511,163534.02
698,,NoRidge,8,1993,1994,Gd,1,2,650,271715.7363
699,68,Somerst,7,2006,2006,Gd,1,2,599,187935.6781
700,81,Timber,7,2009,2010,Gd,0,2,547,178978.9009
701,88,Edwards,4,1960,1971,TA,0,1,571,116033.6691
702,78,NAmes,7,2003,2009,Gd,0,2,647,209710.886
703,,NAmes,7,1970,1989,TA,1,2,603,180052.8652
704,82,Edwards,4,1955,1955,TA,0,0,27,82253.86222
705,78,Somerst,7,2006,2006,Gd,0,3,601,224064.4163
706,77,CollgCr,5,1969,1969,TA,1,1,327,128504.4861
707,50,Edwards,4,1977,1977,TA,0,0,27,150058.1996
708,68,OldTown,5,1910,1950,TA,0,1,227,81488.76309
709,73,Somerst,7,2006,2007,Gd,0,2,465,241421.1429
710,82,Gilbert,8,2004,2004,Gd,1,2,430,178012.1396
711,157,Gilbert,6,2005,2005,Gd,1,2,417,174159.6447
712,56,NridgHt,7,2003,2003,Gd,1,2,505,190187.6663
713,73,CollgCr,7,2005,2005,Gd,1,2,427,165115.6856
714,90,NoRidge,8,1999,1999,Gd,1,3,883,337168.2145
715,45,Mitchel,5,1984,1985,TA,0,1,291,119624.2033
716,,ClearCr,5,1967,1967,TA,0,2,565,185119.8568
717,96,CollgCr,5,1975,1975,TA,0,1,307,110197.4238
718,67,SWISU,5,1942,1979,TA,0,1,267,115754.2587
719,84,Mitchel,5,1976,1976,TA,0,2,511,124543.1936
720,68,NAmes,4,1971,1971,TA,0,2,603,104159.5351
721,83,IDOTRR,5,1967,1967,TA,1,1,315,125906.7494
722,78,NAmes,5,1958,1992,TA,0,1,335,139336.3406
723,58,OldTown,6,1925,1980,Gd,1,2,467,110521.0508
724,106,NridgHt,8,2008,2009,Ex,1,3,1417,253382.9375
725,32,Somerst,6,2005,2005,Gd,0,2,507,156121.3674
726,78,CollgCr,7,1997,1998,Gd,1,2,538,213729.7099
727,49,CollgCr,7,2003,2003,Gd,1,2,623,230197.6715
728,,Mitchel,4,1961,1975,TA,1,4,1383,168234.5425
729,93,SawyerW,7,1993,1994,Gd,1,2,500,216719.574
730,120,Somerst,8,2007,2007,Ex,1,3,907,292840.8928
731,,Sawyer,5,1924,1950,Fa,1,1,349,90040.08935
732,86,Crawfor,5,1950,1963,TA,3,1,369,233492.4254
733,96,StoneBr,9,2010,2010,Ex,1,3,861,394804.9697
734,58,OldTown,7,1915,2005,Ex,1,1,191,155097.0199
735,68,Edwards,5,1955,1990,TA,0,2,599,115157.8407
736,,SWISU,6,1925,1950,Fa,0,1,427,140243.6081
737,87,NridgHt,8,2005,2006,Ex,1,3,705,290808.6071
738,109,NridgHt,8,2005,2006,Gd,1,3,880,325538.6755
739,,Gilbert,7,1992,1992,Gd,1,2,419,164134.0222
740,93,Mitchel,8,1998,1999,Gd,1,3,768,240744.3682
741,68,OldTown,6,1905,2000,TA,1,2,699,163213.7636
742,74,SWISU,6,1915,1950,Fa,0,1,243,128121.4868
743,79,Timber,8,2007,2008,Gd,1,3,827,293143.7113
744,88,NAmes,6,1964,1964,TA,2,1,488,160323.4414
745,58,SawyerW,6,1980,1980,TA,2,1,310,130242.3973
746,85,CollgCr,8,2006,2007,Gd,1,3,1079,425153.6297
747,88,NAmes,6,1964,1993,Gd,1,2,467,187019.7938
748,73,CollgCr,7,2004,2004,Gd,0,2,521,185519.2681
749,67,Gilbert,6,1993,1994,TA,1,2,407,178002.5096
750,29,MeadowV,4,1970,1970,TA,0,0,27,90649.82521
751,117,NAmes,6,1963,1963,TA,0,2,457,132690.8041
752,,OldTown,6,1926,2004,TA,0,1,237,115154.7381
753,32,NPkVill,7,1977,1977,TA,0,2,467,130740.1958
754,92,CollgCr,7,2005,2006,Gd,0,3,809,212960.5936
755,96,NAmes,5,1967,1967,Gd,0,2,544,171492.1769
756,51,Blmngtn,7,2005,2006,Gd,1,2,457,192500.1662
757,32,Blueste,6,1980,1980,TA,1,2,479,104125.5807
758,,Gilbert,6,1995,1996,TA,1,2,436,187709.6756
759,108,Sawyer,5,1950,1950,TA,1,2,421,134924.6474
760,53,Edwards,3,1914,1950,TA,0,0,27,67390.79028
761,71,Gilbert,7,2005,2005,Gd,1,2,417,173689.6065
762,83,NAmes,5,1959,1994,Gd,0,1,332,154024.2663
763,98,Crawfor,6,1960,1960,TA,1,2,490,207465.3025
764,,Sawyer,5,1957,1996,TA,1,2,555,121525.5529
765,70,Mitchel,5,1968,1968,TA,0,1,315,130189.5517
766,80,NAmes,5,1965,2008,Gd,0,2,603,147306.3213
767,73,NAmes,5,1966,1966,TA,0,1,387,120998.7053
768,80,Somerst,8,2009,2009,Gd,0,2,579,229497.2175
769,83,Somerst,9,2008,2008,Ex,1,2,619,264155.7958
770,,Somerst,8,2000,2001,Gd,1,2,615,221187.7486
771,122,Edwards,6,1928,1950,TA,2,3,822,187536.4315
772,96,NAmes,7,1966,1966,Gd,2,2,514,226147.8397
773,38,Somerst,7,2004,2005,Gd,0,2,507,151007.2264
774,86,Crawfor,7,1941,1985,TA,2,1,339,219228.1086
775,86,NWAmes,6,1968,1968,TA,0,2,468,154054.5861
776,115,NridgHt,8,2007,2008,Gd,1,3,893,372535.0205
777,83,CollgCr,7,2001,2001,Gd,1,2,635,199917.1263
778,93,Somerst,8,2007,2007,Gd,1,3,687,251427.8975
779,98,NWAmes,6,1974,1997,TA,1,2,651,240110.4306
780,82,NAmes,5,1965,1965,TA,0,2,603,142643.0892
781,42,Somerst,7,2007,2007,Gd,0,2,567,146049.016
782,67,Gilbert,6,1998,1998,TA,2,2,499,192074.5415
783,76,Edwards,4,1954,1954,TA,0,2,427,110049.5805
784,,Gilbert,6,1993,1993,TA,1,2,447,185215.4166
785,88,NAmes,5,1959,1959,TA,0,1,297,124541.0493
786,59,BrkSide,4,1935,1995,Gd,0,1,267,133037.2797
787,91,Edwards,6,2009,2009,Gd,0,2,487,186220.9114
788,42,Somerst,6,2000,2000,Gd,0,2,467,172660.3029
789,68,BrkSide,5,1924,1950,Fa,0,2,467,100183.5026
790,101,Timber,6,1986,1986,Gd,1,2,605,178333.3088
791,82,NAmes,5,1953,1996,Gd,0,2,441,116240.0946
792,68,Edwards,5,1968,1968,TA,0,1,363,146373.8073
793,,Somerst,6,2000,2000,Gd,0,2,467,178660.4038
794,86,NAmes,6,1948,1950,TA,1,1,357,97610.3014
795,78,NAmes,5,1958,1958,TA,0,1,302,114519.4276
796,,Crawfor,5,1937,1995,Gd,1,1,267,187546.6487
797,104,NridgHt,9,2008,2008,Ex,1,3,863,335158.882
798,93,Timber,9,2006,2006,Ex,1,3,792,315263.8813
799,,Veenker,5,1978,1978,Gd,1,2,615,194145.9755
800,32,Somerst,8,1999,2000,Gd,0,2,519,174037.9247
801,98,OldTown,5,1898,1965,TA,0,2,387,106036.7961
802,58,OldTown,6,1927,1950,TA,0,2,603,120285.1175
803,,NAmes,5,1966,1966,TA,0,1,291,110171.298
804,71,Crawfor,7,1930,1995,TA,1,1,243,143079.5061
805,68,Edwards,5,1987,1988,TA,0,0,27,179252.7256
806,,NWAmes,7,1980,1991,Gd,1,2,468,253706.0655
807,29,BrDale,5,1972,1972,TA,0,1,291,108363.8136
808,32,NPkVill,6,1976,1976,Gd,1,2,467,155077.3389
809,49,StoneBr,8,2000,2000,Ex,0,2,526,251057.6958
810,71,NridgHt,9,2005,2005,Ex,1,2,591,266081.1184
811,,IDOTRR,5,1900,1950,TA,0,1,315,100559.712
812,58,BrkSide,5,1930,1982,TA,1,1,363,137808.7768
813,73,Mitchel,5,1983,1983,TA,0,1,291,130875.7695
814,,SWISU,5,1916,1995,TA,0,0,27,160102.4638
815,60,OldTown,6,1920,1993,TA,0,1,207,114875.5625
816,,Crawfor,7,1971,2009,Ex,2,2,578,326599.4594
817,29,BrDale,6,1972,1972,TA,0,1,291,94294.62536
818,79,IDOTRR,5,1940,1955,TA,1,1,951,120587.4808
819,57,Somerst,8,2007,2007,Gd,0,3,781,282940.3737
820,93,Somerst,6,2004,2004,Gd,1,3,771,245340.894
821,58,SawyerW,6,1990,1991,Gd,0,2,569,152742.7195
822,82,NridgHt,9,2004,2005,Ex,1,3,765,350030.2196
823,58,Edwards,7,1948,1950,TA,1,1,276,109749.0559
824,108,OldTown,5,1915,1950,TA,1,3,747,153995.4172
825,114,NoRidge,8,2000,2000,Gd,2,3,837,351894.6215
826,78,Sawyer,5,1972,1972,TA,1,2,517,142798.5574
827,43,StoneBr,8,1990,1990,Gd,1,2,511,210132.6063
828,76,CollgCr,6,2005,2006,Gd,0,2,591,173927.1955
829,,Sawyer,6,1976,2005,Gd,0,2,502,130520.4991
830,,Sawyer,5,1962,1962,TA,0,1,379,144302.2018
831,93,Edwards,5,1920,1950,TA,0,1,393,83158.18264
832,68,BrkSide,6,1920,1950,Gd,0,2,603,135071.6325
833,68,OldTown,7,1910,1950,TA,1,1,335,122058.1152
834,47,Somerst,7,2004,2004,Gd,0,2,615,176446.5759
835,70,Mitchel,6,1996,1997,TA,0,2,487,137944.6858
836,70,Edwards,4,1924,1950,TA,0,1,315,101242.9071
837,95,Somerst,8,2006,2007,Gd,1,2,507,227284.7326
838,93,Timber,6,1988,1989,Gd,1,2,627,175141.2052
839,65,Somerst,8,2010,2010,Gd,1,3,879,287320.9037
840,93,NAmes,6,1964,1991,Gd,0,1,336,158265.6362
841,88,IDOTRR,1,1952,1952,Fa,0,2,514,48786.31529
842,109,NAmes,6,1962,1962,TA,1,1,323,165108.7207
843,93,OldTown,5,1900,1950,TA,0,2,587,90011.20551
844,32,NPkVill,7,1976,1976,TA,0,1,372,114425.7571
