housing_median_age,total_rooms,population,households,median_income,median_house_value
52,661,392,244,0.957,60000
52,2416,1150,571,1.7308,80500
52,1264,591,284,1.7778,76900
52,1606,891,367,1.585,75500
52,1557,758,319,1.8529,62500
52,2148,975,430,2.2566,92700
50,2285,837,353,2.5417,85400
39,1606,731,327,1.6369,68300
37,1371,640,260,1.8242,70000
39,1836,883,337,1.745,70500
40,1398,788,279,1.4668,64600
43,2285,1169,482,1.9688,70500
43,2241,932,395,2.9038,82000
35,2141,1053,434,2.8529,85600
30,1895,990,359,2.2227,81300
37,1453,867,310,2.5536,70200
33,1076,656,236,2.5096,72200
34,1592,950,317,2.1607,67000
13,2171,951,353,4.8516,116100
26,1776,992,380,2.8056,82800
30,2975,1367,583,2.442,69000
50,340,235,83,1.75,67500
32,1373,872,306,2.5,72600
47,1486,765,329,1.755,74100
52,2167,908,451,1.6111,74700
52,1703,952,435,1.1386,74100
38,1552,873,291,2.4896,81000
41,2127,911,349,3.1711,104200
46,1975,791,349,3.8,81800
46,3042,1206,541,2.1135,90600
37,2692,1263,486,3.0216,86400
35,2426,982,432,3.4219,92800
27,3046,1407,571,2.9143,99600
24,2858,1388,512,3.375,100600
36,2112,829,368,3.3984,90000
23,959,425,175,2.5536,96100
34,2142,1056,382,2.1101,86900
31,2152,1259,420,2.2478,81100
29,2474,1130,427,2.8833,83000
32,2017,855,346,3.5833,92800
34,4183,1891,669,3.2216,98100
31,2414,1005,401,3.5156,143000
22,2588,1198,442,3.9792,133900
18,1287,805,502,1.1157,150000
25,1322,794,379,1.1742,75000
44,692,398,211,1.1576,87500
47,1765,796,333,2.2138,99200
29,1710,990,425,1.1479,101100
50,921,420,187,2.2188,105800
31,334,780,130,0.7684,153100
33,2235,1165,441,1.725,57500
35,2987,1581,585,2.0657,81100
31,1982,1052,467,1.5326,74100
26,2683,1353,526,2.4321,82100
18,4032,1948,775,2.7321,92600
52,1112,544,172,3.3462,50800
12,2087,1603,438,2.5667,139500
25,2395,983,375,3.0469,136000
13,2522,1381,628,1.6667,78800
24,2386,1058,414,2.0644,79800
31,938,425,157,1.0486,36700
19,1970,1166,363,1.8208,50000
19,1797,1033,327,1.4911,59200
22,1580,686,264,1.8065,62700
17,1564,517,222,2.1542,83800
29,1029,509,196,2.0156,62800
22,3263,1384,578,2.4708,119400
32,1020,421,198,3.0208,143400
26,1633,890,370,1.9741,97900
21,1513,943,301,3.538,102700
29,1429,672,266,2.9485,98800
28,1470,811,314,2.4559,75600
41,1719,844,336,2.6923,84200
28,1272,519,220,3.2891,106300
23,1672,1060,390,2.1726,75500
18,3297,1554,578,2.6847,111300
20,1075,529,196,3.1406,96000
19,1734,866,342,2.96,81700
18,2250,1248,472,2.5893,99600
25,2392,1298,461,3.5076,73600
17,1661,948,357,2.7639,90200
18,1550,941,335,2.3147,70100
12,2497,1153,462,2.8182,126900
14,1452,516,181,5.0329,165600
17,1485,823,316,1.8993,78400
23,2103,1019,387,2.9911,119700
28,3513,1658,598,3.8095,119900
33,644,334,121,3.9659,111800
17,2026,873,313,4.0357,128900
18,2581,1375,503,2.8446,100500
23,580,320,109,4.2054,130600
21,5694,2907,972,3.5363,90100
32,1218,620,268,1.6528,58100
36,2349,1194,465,2.5179,79000
35,952,480,179,3.0536,107000
32,1595,706,277,2.8958,86400
43,2131,910,389,2.5804,92100
39,1322,642,292,2.4519,85100
39,1186,539,212,2.0938,79600
27,1148,521,219,4.025,128100
22,1665,826,382,1.5625,66800
17,2985,1544,584,2.178,76800
32,1878,937,353,3.4408,95200
24,2978,1370,480,2.7644,97300
31,1854,883,310,2.3167,92600
25,2015,746,251,1.7153,77100
25,1899,891,355,2.6987,92500
29,2864,1314,562,2.1354,75100
33,1348,573,236,2.4896,74100
38,544,240,91,3.25,94800
30,1927,996,374,2.2357,72300
42,2380,1300,504,1.7574,57500
38,2220,1041,401,2.3947,70500
52,1196,965,265,3.5345,55000
34,1006,443,158,2.6094,71300
52,2217,907,369,2.3571,111400
52,2694,1152,435,3.0806,106700
52,1820,806,270,3.0147,94600
32,1430,434,187,1.9417,76100
17,1319,393,163,2.625,135600
16,2088,816,326,1.319,70700
28,2809,1093,438,2.0962,74000
31,1852,917,359,1.725,54300
19,2283,1184,453,1.2227,76800
33,2985,1221,486,2.087,82400
35,2052,900,402,1.9625,101500
17,2019,899,347,2.1864,101900
38,1327,784,231,1.8793,60800
18,1109,1006,253,2.163,53400
21,1024,890,232,2.101,46700
33,1234,777,298,1,40000
32,1995,1069,410,1.6552,43300
37,709,390,142,2.4511,72500
27,452,258,61,2.9,87500
17,1009,745,217,2.0463,61200
20,1121,766,230,2.2969,62000
31,314,152,56,3.3472,91700
29,1141,684,194,3.4038,107800
17,841,473,154,3.1979,113500
32,1615,1307,345,1.4583,58600
21,1302,1244,316,2.2054,66400
25,2578,2082,565,1.7159,62200
20,1402,1104,317,1.9088,63700
23,1459,1148,388,1.5372,69400
27,1513,1121,381,1.9464,60600
17,1697,911,254,4.3523,96000
24,2565,1447,473,3.2593,80800
41,2429,1188,430,3.0091,70800
35,1583,933,318,2.4063,70700
33,2266,952,360,5.4349,143000
21,2164,1164,421,3.8177,107200
34,2231,1568,510,1.5217,60300
24,1617,1416,401,1.975,66400
10,1879,1376,337,1.9911,67500
34,591,327,89,3.6528,100000
16,1136,481,185,6.2558,146300
19,1087,649,173,3.3182,113800
23,1458,866,275,2.3594,74300
14,1276,867,261,1.9375,80900
30,1602,1130,335,3.5735,71100
38,1892,1175,374,1.9939,65800
35,1263,950,241,1.8958,67500
32,741,623,169,1.7604,68600
33,1365,825,250,3.2396,62300
17,1039,728,246,1.7411,63500
29,1207,804,288,1.9531,61100
31,1494,959,284,3.5282,67500
20,1608,862,248,4.875,90800
3,1629,1005,312,4.1293,83200
19,541,457,106,3.3583,102800
23,1228,569,235,3.1667,125000
18,1564,1161,343,2.1792,55200
44,472,206,57,2.2083,93800
16,348,123,54,2.0938,87500
19,377,198,55,1.625,112500
5,805,458,143,4.475,96300
34,1540,1013,274,2.5664,67500
10,1088,533,201,3.6597,87500
17,1492,1595,428,1.7188,69900
16,1307,961,327,1.1853,72600
16,2276,1184,513,1.875,93800
21,1260,805,239,2.6172,88500
18,1715,1166,333,2.2417,79200
14,1527,1453,332,1.735,61200
17,1190,1113,258,2.3571,63100
13,330,822,64,3.4107,142500
23,666,580,160,2.1136,61000
22,565,692,141,1.2083,53600
30,752,733,186,1.6607,56100
23,1712,1370,377,1.275,60400
23,1004,697,201,1.6351,59600
33,1192,1066,211,4.5714,68600
25,1311,1193,351,2.1979,63900
28,1672,1335,397,1.5987,59400
15,1171,1024,298,1.3882,69400
18,1178,1377,429,1.3373,58300
34,2856,1627,522,3.2083,76200
20,2372,2283,767,1.1707,62500
50,1291,864,274,1.6667,68100
46,2511,1583,469,3.0603,70800
35,1185,615,191,4.6154,86200
25,2007,1135,332,5.128,99600
29,1568,848,245,3.1597,76200
5,2652,1767,536,2.8025,84300
5,2494,1416,421,5.7843,110100
8,2183,1000,287,6.3814,159900
14,1687,762,451,1.6635,64400
34,1152,621,208,3.6042,73600
29,2321,1173,360,4.0375,86400
20,1534,871,222,6.2715,97200
15,1413,803,277,4.3021,87500
15,1278,653,185,4.4821,140300
30,935,649,148,2.5769,94400
17,1960,1691,356,1.899,64000
19,583,531,134,1.6838,95800
25,2322,2185,602,1.375,70100
24,1266,1083,298,1.4828,73100
15,3414,2097,622,2.3319,91200
18,3631,3565,924,1.5931,88400
35,2159,1694,475,2.1776,75500
29,1523,1302,393,1.1311,84700
11,2872,2644,581,2.625,72700
6,2804,2807,594,2.0625,67700
17,290,135,57,1.7292,81300
16,245,81,33,1.2639,51300
15,208,51,20,4.0208,32500
26,1134,329,158,1.4338,43900
18,414,98,54,1.5417,57500
20,1996,659,295,2.8684,62800
15,1945,515,273,2.0109,54300
5,186,41,21,2.7,58800
8,240,63,24,1.4688,53800
15,459,160,73,0.922,67500
19,1210,329,155,1.7857,62800
27,322,112,57,1.125,54400
12,99,37,17,1.8958,53800
2,96,30,16,5.3374,47500
24,796,227,139,0.8964,59200
18,1183,374,127,3.1607,57500
19,749,476,169,1.7727,50000
23,1586,338,182,1.2132,30000
21,44,64,27,0.8571,25000
19,2570,1431,608,1.275,56100
15,1448,949,300,0.8585,45000
17,1388,775,320,1.2049,44000
16,3806,1501,714,2.1212,108300
19,2460,1225,425,4.1576,141500
19,2682,1134,399,3.2132,166000
20,1468,721,270,3.0817,118800
26,3135,1385,523,4.337,139700
21,3302,1413,520,4.375,180400
18,2281,1425,465,1.7388,54400
34,2465,1172,575,1.9722,116100
25,3295,1477,770,1.8325,105800
38,1813,902,396,2.3261,98400
22,3480,1541,636,2.75,94500
19,99,51,22,1.7292,137500
35,2563,861,371,2.325,80600
34,2090,896,426,2.0357,74200
23,2311,1019,384,2.2574,104700
25,1709,632,292,1.7868,45500
19,619,490,164,2.1,14999
14,1372,436,213,1.1471,32900
42,2271,1124,447,2.7583,64900
45,1628,754,334,2.5703,62400
38,2952,1491,568,2.6094,67900
14,3520,1748,582,4.3162,87100
5,2133,1182,438,3.0268,77000
29,3415,1527,597,4.0125,84400
39,2033,956,379,3.1736,70700
40,1089,520,218,2.2727,67200
36,2044,1021,374,1.8472,57400
40,1912,1015,413,1.4598,52600
42,1705,905,393,1.6286,54600
41,1808,1005,373,1.7857,54300
47,1691,913,358,1.8403,54700
41,1992,1006,419,2.8393,57000
35,2353,1368,455,2.325,63200
21,2534,1297,517,2.0575,67000
41,2221,1106,473,1.97,51900
37,1761,911,365,2.0331,53200
25,1577,844,309,3.0625,69400
31,2348,1413,611,1.3222,51400
35,2608,1566,583,2.1818,63500
20,3268,1622,758,1.3587,67500
10,4159,2089,591,5.5261,132000
19,3889,1872,731,2.6812,107600
12,3449,1754,551,5.6235,130600
52,154,37,16,10.0263,200000
28,254,118,37,4.8571,237500
18,1894,846,317,3.8611,126400
10,6435,3242,1030,5.575,132200
11,8739,4781,1919,1.7109,44600
29,1820,1134,419,1.8289,59400
36,790,426,208,1.4427,50600
30,227,169,101,1.3527,60000
43,2225,890,374,4.0208,90400
48,1908,789,321,3.5714,84600
44,2250,928,379,4.3906,93900
42,2839,1203,487,3.7708,79400
51,1373,648,300,2.8295,72100
36,1896,937,303,3.996,85500
34,1859,854,309,3.1906,76200
34,813,440,170,2.8393,69800
36,1443,680,259,2.9821,73100
36,1864,1052,325,3.4205,76600
36,1482,640,274,3.875,94500
28,4667,2404,841,3.2325,89000
29,3548,1542,659,2.947,87100
23,4483,2136,883,3.6875,101700
27,2473,1271,427,3.5524,89100
23,5624,2842,1042,3.1297,79000
34,2047,888,352,3.6734,92900
35,2220,906,373,3.5938,95200
41,2417,973,406,3.0568,85600
26,4800,2365,743,3.7533,87000
30,2594,1419,480,3.725,83100
33,3122,1733,545,3.8307,70600
21,3999,1889,688,3.875,99500
14,5548,2815,935,4.2214,104600
27,3074,1223,452,5.4592,139100
13,3137,1318,397,7.7751,194100
6,4656,2320,935,3.0938,100800
10,3216,1539,483,6.3639,143000
10,3587,1398,763,2.569,113000
14,2458,1352,411,3.5441,87000
32,4121,2590,721,3.3462,67600
20,1351,762,253,2.1111,105300
17,3589,1746,640,2.4919,75700
34,2412,1558,421,2.6903,62800
33,3372,2352,704,2.0643,57600
23,1106,790,230,1.8523,59700
34,1672,1059,349,2.1588,61300
37,1667,971,335,2.875,57400
37,1475,946,295,1.6728,55400
41,1463,1066,318,1.7467,52400
40,1603,1026,337,1.365,54300
38,2121,1547,441,2.774,59500
32,1361,1483,297,1.625,46800
39,1497,1182,355,1.0648,50000
42,1185,1038,299,0.9951,48000
41,2396,1781,543,1.8819,58000
35,1673,1041,413,1.375,57500
26,1317,1025,304,1.4024,51000
30,1390,1116,298,1.3451,57500
22,1812,1592,420,1.4146,49100
24,1807,1460,410,1.4786,54800
34,1020,795,228,1.625,50800
28,1171,1193,273,0.8639,49400
39,2228,1516,435,1.6009,48800
36,1438,1054,341,1.8319,55400
52,2805,1325,522,2.5083,70100
29,607,476,143,1.1875,50700
32,2620,2375,684,1.2618,46900
41,303,216,80,2.2212,55500
36,832,814,174,1.4773,57400
38,918,743,222,1.7292,58100
35,825,670,181,1.1638,57900
52,425,380,97,1.4125,42500
44,434,274,86,1.1944,57500
52,114,158,26,1.075,67500
35,120,477,41,1.9125,47500
44,593,364,121,1.4779,66000
52,90,36,31,0.8054,60000
48,346,129,63,1.1875,63800
52,191,106,49,2.0455,72500
45,629,568,139,1.7321,84400
38,2122,843,410,3,91800
52,1695,540,260,2.7312,147100
52,1503,554,277,1.6786,126600
44,1618,667,300,2.875,82700
28,4513,1593,763,2.9821,118700
36,1942,1051,411,1.8362,66900
30,4635,2307,754,3.6548,84700
16,4507,2261,959,3.3261,118400
19,5254,2155,831,4.6705,110700
12,6442,2966,1092,4.5791,123400
9,1228,409,212,4.3482,95200
42,2508,1035,442,2.6513,72300
41,1944,977,388,3.9097,81300
40,1533,771,306,3.0435,69500
46,1637,714,297,2.1818,75300
44,2687,1521,549,1.7213,61600
48,1833,947,363,2.2827,70000
47,1631,847,315,2.5062,73700
41,2551,1342,595,1.9671,76800
38,1702,1191,366,1.8801,57800
38,1838,1203,373,1.6797,60700
36,2658,1490,529,1.2157,57000
24,1941,1277,435,1.056,51600
33,821,579,172,1.2469,46700
40,850,764,186,0.9407,43600
39,896,805,197,1.25,42500
35,1164,992,284,1.4015,48700
35,1021,1258,239,1.7375,48600
36,1562,1223,329,0.9675,47100
29,1244,933,227,1.6981,49400
15,1482,1059,279,1.2617,42700
18,1524,1210,344,1.1136,47800
31,1498,1168,340,1.2232,49300
19,2714,1823,500,3.1281,76200
30,2294,1753,482,2.1078,54700
32,1025,874,236,1.9612,53400
35,2285,1738,480,2.4848,54000
34,1379,1156,315,1.7197,48900
31,1418,1219,312,1.5743,46700
29,3480,2007,541,3.2738,78700
21,496,511,124,1.7614,33200
27,1615,1380,332,1.6632,49800
36,1590,1311,390,1.6786,52900
26,875,567,204,0.9288,36600
31,2931,1969,588,2.2155,62100
32,1293,1109,286,1.1786,45600
34,1354,922,304,2.1875,58000
44,1730,782,278,3.0208,63700
42,1239,776,272,1.983,63300
39,598,366,132,1.9125,57900
38,1472,670,282,2.2407,76000
38,1463,692,295,2.3125,65800
36,3474,1679,616,2.7256,71900
34,1441,695,275,2.6875,73700
31,1607,817,307,2.5644,73000
27,4590,2212,894,3.1753,85000
20,9351,4584,1953,2.575,69900
14,3580,1933,912,2.6637,175000
18,12707,7009,2552,2.9438,87200
17,2387,1204,423,4.0529,106200
24,4119,1294,879,2.4123,86200
16,4201,1667,724,4.8839,134100
4,8574,4250,1444,5.1036,103400
5,4597,1916,870,4.0327,131000
18,4070,1580,540,10.5941,245800
20,892,331,135,7.1837,176300
14,2113,842,265,8.5325,224100
16,1535,768,236,5.4449,118500
15,1474,768,238,4.1528,130100
4,6640,3121,902,6.759,170300
8,11609,5696,2100,5.0012,106300
9,7085,3084,1052,4.997,142900
15,3944,2355,757,3.569,70700
13,9027,4870,1797,3.406,100700
14,5264,3278,1049,3.8117,82800
34,2861,1375,486,3.4286,71400
26,3691,2072,827,2.1553,84700
21,3057,1627,680,2.7083,84700
34,2221,1131,408,3.0486,68500
36,973,613,187,1.5625,46700
42,1120,677,213,1.5429,39400
35,991,620,207,1.9417,53800
32,3068,1897,607,2.4234,63700
35,2053,1193,387,2.75,65800
35,1650,1145,343,1.5357,56500
35,1576,870,282,1.6575,59500
33,2248,1461,405,2.9402,56200
37,1337,767,273,1.6522,53300
3,2821,1353,495,3.6852,109800
20,37,34,8,1.2,50000
11,7035,3525,1387,3.4827,93600
11,2161,1267,388,4.1957,92700
12,2721,1294,523,2.5575,100200
14,2927,1821,561,3.3529,82600
9,10822,6241,1906,4.0631,88200
10,829,447,173,4.1484,102900
10,7397,4611,1310,3.6369,81600
23,4870,2717,928,2.596,70000
19,7092,4101,1436,2.1006,74800
7,8596,4893,1520,3.9054,80900
25,3081,1830,591,2.5804,97900
5,6268,3269,980,5.1457,118200
6,80,66,21,3.125,65000
10,7011,4163,1307,2.7659,77500
40,282,213,71,2.35,91700
32,444,242,87,1.1528,150000
24,806,323,136,3.5,113900
18,3278,1338,550,2.9891,116500
30,2817,1089,412,3.1364,123500
6,8733,2006,736,4.5724,168400
14,4054,1581,579,3.0882,148200
8,508,229,84,4.0332,128300
21,2213,1250,440,2.9187,52100
45,973,500,177,2.6389,30000
26,890,483,170,4.15,68200
23,3827,1993,617,3.0742,57900
36,116,39,18,3.125,37500
34,3437,1783,608,2.3912,52900
40,4164,1998,773,2.8323,50800
30,2943,1565,584,2.5313,45800
19,4190,1973,702,3.9929,88300
33,5050,2293,919,3.1592,75400
34,1440,808,294,2.3013,26600
46,2745,1423,482,2.1955,26900
44,4599,2140,831,2.9952,63800
32,2167,1301,394,1.9718,69800
24,2585,1442,424,2.8452,104700
12,5589,3018,917,4.4561,96900
22,984,451,170,3.25,88900
13,1264,552,187,4.5903,94300
12,2835,1399,413,4.4125,149000
6,7383,3415,1059,5.3119,157300
18,1521,706,279,4.4196,121000
37,2044,894,359,2.9453,82800
13,4527,2170,671,4.8266,146200
36,1253,932,249,2.1635,110400
36,786,573,134,2.2321,37500
39,2649,1815,547,2.3533,65400
38,2536,1133,430,4.2375,78600
34,1367,796,319,2.8269,61100
28,1089,544,190,3.2279,95800
34,1923,1101,351,2.4044,65800
28,3107,3260,738,1.6944,58600
21,2171,1315,450,1.7105,52100
34,2304,1506,403,2.2071,64600
16,1584,1011,268,2.4961,58800
29,510,236,73,2.7,125000
13,1657,1186,376,1.1903,63200
33,3240,1809,616,2.3934,71900
33,2143,1732,509,1.9362,59000
32,2703,2682,675,1.4619,60500
14,2719,1497,457,3.176,71800
20,3085,2645,676,1.7868,54100
18,820,1345,207,2.1186,47500
21,2403,1647,415,2.6066,80000
30,735,421,113,2.5625,156300
15,3938,3500,768,2.1295,59800
29,1476,902,205,2.6726,83300
21,1885,1539,388,2.5208,58500
16,2874,3078,651,1.8843,55200
32,3216,2639,709,2.0025,54700
27,1513,1346,323,2.7411,59800
35,1618,1449,398,1.6786,56500
36,2332,2175,610,1.6045,57300
36,1598,1658,417,1.517,52100
8,3271,2700,688,1.7418,62200
35,1927,1371,414,2.2981,69900
8,1612,1230,330,2.1806,67200
31,2862,2467,600,2.3125,62100
28,1737,1764,514,1.7813,67800
36,3225,2034,593,2.4044,72500
16,2275,1914,614,2.033,68400
26,2636,1416,485,4.1917,84000
6,1755,664,254,6.2885,216400
20,3458,1465,621,2.5806,82500
13,1439,557,227,6.1563,204200
18,2327,799,335,1.8419,92300
15,1962,730,321,2.25,67500
23,3166,1097,493,2.6288,96000
18,4754,1366,690,2.0694,81200
18,3303,986,522,1.5957,101400
28,1491,98,48,1.4205,90000
33,1504,584,223,3.4792,94600
17,2354,775,380,1.8369,59400
15,2966,1007,465,1.5667,72500
15,5907,2310,1001,2.3125,96900
18,2304,782,390,1.4141,75800
17,2248,927,427,1.3023,68500
17,4002,1614,731,1.6236,67300
16,5396,1802,807,1.8819,69700
13,2267,756,276,2.5474,78400
35,2916,1870,432,3.625,55000
33,2579,1155,431,2.0441,42100
18,2737,1128,533,2.8,72000
15,2701,1245,513,3.3269,81900
5,1131,520,232,4.0167,87500
8,2683,1154,399,5.8625,109400
15,3253,1408,586,5.2043,95700
6,2115,927,337,6.1935,115700
32,3661,1613,706,3.0687,63500
18,4334,1777,661,6.0653,105300
5,3151,1335,428,5.5773,109000
18,2657,1426,483,3.5931,71900
9,4241,1929,742,3.5988,84500
12,1678,765,281,6.0532,102800
16,2678,1473,487,3.858,70200
30,2994,1481,581,2.1458,52400
10,2656,1349,501,4.25,83200
11,5897,2728,1072,4.15,85700
5,5735,2623,862,4.8494,87200
14,1740,850,317,2.5812,91700
12,2014,1027,356,3.9261,101300
9,3811,1518,568,5.5551,142500
19,1124,598,261,1.8984,54300
13,2566,1181,414,4.1518,91800
11,1751,765,296,5.0762,98000
15,2357,1110,442,3.1755,81700
28,1913,858,371,1.9962,50800
21,1739,945,362,3.4015,86500
30,2555,1347,467,3.3693,71800
4,18,8,6,1.625,275000
4,2,6,2,2.375,137500
15,1926,917,316,3.3889,68500
5,4849,2504,847,3.5391,81900
4,2630,1150,422,4.25,104400
1,83,32,15,4.875,141700
4,923,352,135,4.5724,84500
15,2180,960,370,2.875,87800
20,873,422,159,2.9583,91700
11,7353,3571,1308,2.8097,130000
28,2969,1644,570,3.4338,54900
33,1589,853,272,4.2292,64400
36,1184,672,241,1.9107,39800
10,4597,2227,821,2.6149,83500
9,1507,761,278,3.0184,87900
2,2103,923,338,5.0553,111100
21,2370,1488,554,2.7361,83300
15,1069,569,263,2.0441,73300
44,1297,776,278,2.5875,68900
14,2992,1631,526,3.7452,83200
29,1671,821,337,2.16,56800
7,4371,1932,654,4.625,136800
7,9664,3617,1370,4.0581,162900
10,2939,1167,446,2.3917,79000
4,8417,4631,1468,3.6949,115800
6,3660,1243,482,3.4911,137200
11,4031,1539,564,3.8917,120800
19,3109,1457,620,2.6417,94900
16,4084,2033,668,3.2405,85500
8,1968,930,360,3.2632,99800
34,1170,602,266,1.7917,80000
21,1899,1133,391,1.8636,67900
28,1793,1233,351,2.7845,82200
24,1341,667,184,4,94500
33,1190,717,196,2.6302,81300
29,1297,909,253,1.9236,106300
26,1639,1222,395,1.7656,68000
31,2358,2302,574,1.9688,53900
17,1959,1763,453,2.1357,53500
34,2185,1910,455,2.1136,57300
17,2783,2566,641,1.9907,51200
29,1401,1344,306,2.0921,61400
31,6145,5666,1457,1.9066,54600
20,3815,3450,920,2.0174,63700
29,2888,2949,699,1.7716,45500
38,1016,540,187,2.2885,75000
30,1860,1123,347,3.4926,94200
26,1912,1002,311,3.0375,126300
25,1688,879,277,3.3214,103100
41,831,443,146,3.1406,100000
25,1549,819,272,2.7159,101400
26,1414,779,249,2.9167,83900
25,8363,7679,1580,2.0285,106300
19,3252,1971,607,3.0667,75800
14,3400,1867,612,3.9926,92500
14,1287,737,269,3.1667,126400
14,3677,2191,785,2.6218,69100
25,4984,2414,961,2.2937,72300
24,2202,1052,439,2.1038,62000
30,1846,1255,352,2.1681,66600
16,1717,903,289,4.3438,93100
6,1265,764,246,4.2917,104200
18,942,424,174,2.0673,87500
16,1006,515,200,3.2386,112500
29,1871,1066,309,4.5714,100800
7,479,327,103,5.1728,107500
24,544,442,106,3.1071,56100
33,1287,580,210,3.2019,112500
40,1185,676,256,2.2721,52600
40,1178,586,187,2.6477,43500
20,2440,1579,400,2.8281,60200
10,956,693,220,2.2895,62000
10,1090,470,158,4.9432,118800
4,3725,1478,600,3.5486,148000
21,1745,837,292,4.3911,107900
38,3148,1378,537,2.8788,85500
15,1724,947,391,3.1094,91900
13,2360,1055,312,5.2134,97400
23,3182,1525,585,3.8108,90400
4,1684,920,324,4.2396,90600
10,3674,1864,718,2.6145,80300
30,1765,746,298,2.8125,70200
26,1463,699,219,3.5536,71400
14,2928,1633,559,1.8385,67500
32,1492,926,264,3.0139,61500
36,1518,749,255,2.2333,61000
32,1338,859,286,2.6397,59700
46,1730,752,323,1.8529,67200
47,1869,832,315,3.0846,76100
32,2958,1504,627,1.8606,56700
41,3095,1852,721,1.4524,51700
52,1257,624,243,2.3523,59100
47,1059,693,241,1.3882,53800
26,592,268,116,1.7596,120800
19,1241,850,237,2.9375,81700
16,2048,1052,388,4.0909,92800
10,1623,988,395,1.4194,58100
24,2652,1532,445,2.3256,56800
28,1325,873,240,2.5833,54400
12,2739,1859,498,2.9936,60600
18,1147,717,212,3.3681,70500
11,1294,713,290,1.5433,50400
32,2205,1772,479,1.3569,43100
28,941,588,180,2.3466,53400
27,1513,1071,284,1.5909,50100
25,1847,1460,353,1.8839,46300
20,2673,1394,449,2.625,97400
35,2011,970,300,2.395,94100
23,207,171,50,2.4286,100000
32,752,524,155,2.25,50000
6,2015,992,319,2.3889,53200
21,1382,1469,355,1.3967,46500
29,424,284,73,1.5313,43800
25,1093,893,252,2.13,50800
35,1648,792,265,3.2847,64700
14,1267,1077,279,1.85,52300
37,766,639,190,1.6607,42100
21,2004,1397,398,2.2169,61600
16,1461,1201,384,1.5727,54800
36,1729,737,278,3.5313,68800
37,1676,707,274,2.0595,60700
21,1548,1137,306,2.4688,61300
43,187,106,40,1.875,137500
33,1293,694,229,2.0221,52200
23,333,198,55,0.4999,100000
25,1047,1505,286,2.0976,47700
20,156,171,37,3.05,225000
27,2533,1371,461,2.9708,60900
18,1165,1119,308,2.2167,48500
33,1726,1371,388,2.0335,43900
7,2049,1387,422,2.25,56200
26,48,13,8,2.375,71300
16,259,131,38,3.125,62500
16,411,26,19,0.4999,73500
39,1295,534,179,3.9519,98900
43,89,86,27,2.0208,72500
44,202,142,39,4.35,68300
45,1314,649,232,2.575,73600
20,1125,521,196,2.2188,106300
24,1098,353,145,3.8333,92600
17,380,225,72,3.25,137500
10,1588,585,254,2.2551,71100
15,2483,835,380,1.9141,143200
24,341,146,57,4,166300
18,681,272,105,2.8906,140600
14,1582,851,273,3.45,164100
21,2202,1000,381,2.4423,102300
21,1236,601,261,1.939,100300
16,1548,605,250,3.5652,119000
20,1128,621,210,3.2216,93500
38,3131,1591,568,2.5457,80700
27,789,295,108,3.7667,95000
14,2374,723,427,1.3532,95800
13,532,214,62,3.3929,108300
15,1927,810,321,1.6369,86500
24,3127,1015,448,2.0417,78800
26,2191,679,371,1.4679,94700
20,1798,685,331,1.625,66800
17,1880,798,342,1.4676,65000
23,952,321,128,1.5208,89000
15,1601,661,269,2.6181,108900
11,1264,370,177,1.3,69700
9,254,66,29,2.7639,112500
23,1618,425,244,1.9833,111500
27,2199,744,316,2.1094,72400
27,1446,594,255,1.165,53300
16,3715,943,510,1.7446,109400
18,793,186,59,2.3125,162500
18,1177,181,105,2.3558,134700
16,4279,1596,666,1.8571,75900
16,975,337,155,1.6607,77800
27,2300,526,254,2.1838,109700
32,1856,703,292,1.1912,60000
17,1708,633,312,1.75,64000
19,2230,832,359,1.6865,58800
14,1731,638,282,2.3179,57500
14,231,108,31,4.3897,71300
16,1657,572,301,1.4767,62000
16,1914,828,332,2.0577,69000
20,2507,1072,457,2.3083,60200
27,2143,898,367,1.6769,63200
29,883,326,136,1.7273,58200
28,1503,522,268,1.2029,68900
11,686,246,86,1.7083,77300
25,661,192,93,1.7566,49000
18,3844,1832,845,1.125,81800
13,524,215,90,1.5455,55000
17,2554,723,319,3.2375,114200
17,4162,889,414,3.4187,200500
23,642,265,84,1.8833,96900
11,5175,2144,792,3.0466,97300
9,1245,517,187,3.125,93400
20,41,94,10,1.375,55000
20,1592,647,253,2.5326,136800
20,1580,753,252,1.8704,88500
15,289,191,54,1.6833,113900
17,1383,719,296,1.6164,77800
21,939,556,178,1.7196,75000
20,2067,904,333,2.9934,134200
20,1214,504,223,2.7188,105700
15,1318,567,276,1.8692,93800
26,712,293,100,4.0119,119400
11,640,268,90,3.4514,100000
29,2781,890,310,1.9906,96600
12,4515,1554,528,3.3531,90800
10,304,161,61,2.1964,112500
15,1410,599,273,2.1953,75000
23,292,92,41,2.9583,91700
13,520,249,109,1.8417,84700
30,70,20,13,4.125,112500
16,1177,519,199,1.5739,73500
12,2394,877,341,2.5625,109200
9,2589,1050,374,4.0435,132600
7,3639,1027,421,3.8831,132100
15,764,366,143,3.375,103100
22,852,461,142,3.4375,83300
29,994,302,117,2.3125,67900
21,1425,727,287,2.1474,85300
20,531,231,96,2.625,89600
26,102,43,13,0.536,87500
26,1707,761,250,2.7188,48100
29,779,364,123,2.5,59200
17,976,511,175,3.6641,80800
27,777,318,115,1.6833,40000
33,240,63,22,3.625,200000
11,2635,280,132,1.7214,118300
17,890,406,154,3.3036,78300
